,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ABILE,78,TEXCC,64,W,5.0,W,127.5,O
1,"Feb 12, 2020",HOUBPT,67,ABILE,81,W,-15.5,L,163.5,U
2,"Feb 8, 2020",LAMAR,49,ABILE,84,W,-6.5,W,136.0,U
3,"Feb 5, 2020",ABILE,69,NWST,73,L,6.0,L,139.5,O
4,"Feb 1, 2020",INCAR,58,ABILE,72,W,-17.0,L,132.5,U
5,"Jan 29, 2020",ABILE,61,SFA,71,L,-8.5,L,138.0,U
6,"Jan 25, 2020",ABILE,70,C.ARK,69,W,1.5,L,151.5,U
7,"Jan 22, 2020",ABILE,76,SAMHO,82,L,-5.0,L,143.0,O
8,"Jan 18, 2020",SELA,55,ABILE,76,W,-9.5,W,141.0,U
9,"Jan 11, 2020",TEXCC,56,ABILE,68,W,-8.0,W,130.5,U
10,"Jan 8, 2020",MCNEE,88,ABILE,84,L,-7.0,L,145.5,O
11,"Jan 4, 2020",ABILE,74,LAMAR,62,W,-2.5,W,132.5,O
12,"Dec 29, 2019",ABILE,66,WICHI,84,L,-21.5,W,134.5,O
13,"Dec 21, 2019",NICHL,61,ABILE,79,W,-2.0,W,137.0,O
14,"Dec 18, 2019",ABILE,77,NEWOR,71,W,-3.0,W,134.5,O
15,"Dec 12, 2019",HOWPA,36,ABILE,105,W,0.0,,0.0,
16,"Dec 7, 2019",DALCHR,34,ABILE,102,W,0.0,,0.0,
17,"Dec 5, 2019",SEMIZ,64,ABILE,73,W,-5.5,W,134.5,O
18,"Nov 29, 2019",ABILE,51,SMU,70,L,-16.0,L,130.0,U
19,"Nov 25, 2019",ABILE,56,TEXST,61,L,-11.5,W,127.5,U
20,"Nov 21, 2019",CHMBAP,58,ABILE,90,W,0.0,,0.0,
21,"Nov 18, 2019",ABILE,58,UNLV,72,L,-10.5,L,134.5,U
22,"Nov 16, 2019",PEPPR,73,ABILE,69,L,5.5,W,147.0,U
23,"Nov 10, 2019",ABILE,83,DREXL,86,L,-7.0,W,142.0,O
24,"Nov 5, 2019",ARBAPT,39,ABILE,90,W,0.0,,0.0,
25,"Mar 21, 2019",ABILE,44,KENTY,79,L,-20.5,L,132.0,U
26,"Mar 16, 2019",NEWOR,60,ABILE,77,W,-4.5,W,132.5,O
27,"Mar 15, 2019",SELA,66,ABILE,69,W,-4.5,L,127.5,O
28,"Mar 9, 2019",INCAR,52,ABILE,81,W,-16.5,W,134.5,U
29,"Mar 5, 2019",SFA,58,ABILE,72,W,-9.5,W,138.5,U
