,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",AIRFO,62,FRSNO,71,L,-8.0,L,142.5,U
1,"Feb 15, 2020",SJ.ST,86,AIRFO,95,W,-9.5,L,154.5,O
2,"Feb 11, 2020",AIRFO,57,BOISE,74,L,-11.0,L,151.0,U
3,"Feb 8, 2020",SD.ST,89,AIRFO,74,L,12.0,L,141.0,O
4,"Feb 4, 2020",AIRFO,54,NEV,88,L,-9.0,L,153.5,U
5,"Jan 28, 2020",FRSNO,79,AIRFO,68,L,-2.5,L,139.0,O
6,"Jan 25, 2020",AIRFO,81,SJ.ST,90,L,3.5,L,150.5,O
7,"Jan 21, 2020",AIRFO,47,UT.ST,72,L,-14.0,L,145.0,U
8,"Jan 18, 2020",COLST,78,AIRFO,65,L,0.0,L,149.0,U
9,"Jan 15, 2020",BOISE,78,AIRFO,85,W,1.0,W,148.5,O
10,"Jan 11, 2020",AIRFO,78,NEWMX,84,L,-8.0,W,153.0,O
11,"Jan 7, 2020",UT.ST,60,AIRFO,79,W,7.5,W,146.5,U
12,"Jan 4, 2020",AIRFO,59,UNLV,71,L,-6.0,L,140.5,U
13,"Dec 31, 2019",UCRIV,56,AIRFO,105,W,-4.5,W,134.5,O
14,"Dec 21, 2019",DRAKE,85,AIRFO,80,L,-1.5,L,137.5,O
15,"Dec 17, 2019",JO&WA,42,AIRFO,99,W,0.0,,0.0,
16,"Dec 14, 2019",AIRFO,79,DENVR,75,W,6.0,L,143.5,O
17,"Dec 7, 2019",NEV,100,AIRFO,85,L,3.0,L,148.5,O
18,"Dec 4, 2019",AIRFO,86,WYOM,77,W,2.0,W,121.5,O
19,"Dec 1, 2019",JACKS,52,AIRFO,76,W,-12.0,W,138.5,U
20,"Nov 24, 2019",AIRFO,74,INDST,84,L,-3.5,L,137.5,O
21,"Nov 22, 2019",DUQU,69,AIRFO,63,L,7.0,W,137.0,U
22,"Nov 21, 2019",LOYMA,78,AIRFO,64,L,-2.5,L,127.5,O
23,"Nov 18, 2019",AIRFO,54,TCU,65,L,-16.5,W,141.5,U
24,"Nov 12, 2019",AIRFO,69,ARMY,57,W,1.0,W,148.5,U
25,"Nov 9, 2019",TEXST,71,AIRFO,78,W,1.5,W,136.0,O
26,"Nov 7, 2019",ID.ST,89,AIRFO,79,L,-14.5,L,131.5,O
27,"Mar 14, 2019",AIRFO,50,FRSNO,76,L,-10.0,L,139.0,U
28,"Mar 13, 2019",SJ.ST,56,AIRFO,87,W,-11.0,W,146.5,U
29,"Mar 9, 2019",AIRFO,52,BOISE,80,L,-9.0,L,137.5,U
