,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 14, 2020",AKRON,80,CMICH,67,W,3.5,W,153.5,U
1,"Feb 11, 2020",BOWLG,59,AKRON,74,W,-7.0,W,149.5,U
2,"Feb 8, 2020",EMICH,58,AKRON,59,W,-12.0,L,131.0,U
3,"Jan 31, 2020",AKRON,67,KENT,68,L,-1.5,W,145.5,U
4,"Jan 28, 2020",BUFF,77,AKRON,74,L,-7.5,L,158.5,U
5,"Jan 25, 2020",AKRON,88,OHIO,86,W,4.5,L,143.5,O
6,"Jan 21, 2020",AKRON,81,MIAOH,60,W,5.0,W,144.5,U
7,"Jan 18, 2020",TOLDO,99,AKRON,89,L,-6.5,L,138.0,O
8,"Jan 14, 2020",AKRON,72,N.ILL,49,W,2.5,W,135.0,U
9,"Jan 10, 2020",BALL,60,AKRON,75,W,-4.0,W,135.5,U
10,"Jan 7, 2020",WMICH,69,AKRON,84,W,-11.5,W,139.5,O
11,"Jan 4, 2020",AKRON,69,EMICH,45,W,3.5,W,130.5,U
12,"Dec 30, 2019",UMASS,79,AKRON,85,W,-9.0,L,143.0,O
13,"Dec 21, 2019",AKRON,67,LIBRT,80,L,-3.5,L,124.0,O
14,"Dec 20, 2019",AKRON,62,TULAN,61,W,4.5,L,138.5,U
15,"Dec 15, 2019",CONC,50,AKRON,100,W,0.0,,0.0,
16,"Dec 8, 2019",SUTHR,57,AKRON,72,W,-19.0,L,141.0,U
17,"Dec 4, 2019",AKRON,85,MARSH,73,W,3.5,W,149.5,O
18,"Nov 29, 2019",MERRIM,47,AKRON,64,W,-12.0,W,133.0,U
19,"Nov 24, 2019",AKRON,76,LOUIS,82,L,-18.0,W,135.5,O
20,"Nov 21, 2019",YOUNG,60,AKRON,82,W,-8.5,W,133.5,O
21,"Nov 18, 2019",USCUP,45,AKRON,76,W,-19.5,W,137.0,U
22,"Nov 15, 2019",NCCEN,47,AKRON,57,W,-15.0,L,140.0,U
23,"Nov 8, 2019",AKRON,84,W.VA,94,L,-11.5,W,144.5,O
24,"Nov 5, 2019",MALONE,64,AKRON,81,W,0.0,,0.0,
25,"Mar 14, 2019",AKRON,46,BUFF,82,L,-10.5,L,145.0,U
26,"Mar 11, 2019",MIAOH,51,AKRON,80,W,-5.5,W,129.5,O
27,"Mar 8, 2019",AKRON,65,KENT,68,L,-1.5,L,135.0,U
28,"Mar 5, 2019",BOWLG,67,AKRON,91,W,-2.5,W,135.5,O
29,"Mar 2, 2019",OHIO,73,AKRON,49,L,-9.0,L,131.0,U
