,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ALA&M,58,ALAST,61,L,-4.5,W,131.5,U
1,"Feb 10, 2020",ALA&M,61,MSVAL,67,L,7.0,L,154.0,U
2,"Feb 8, 2020",ALA&M,58,ARKPB,54,W,1.0,W,122.0,U
3,"Feb 3, 2020",PVA&M,69,ALA&M,54,L,7.0,L,136.0,U
4,"Feb 1, 2020",TEXSO,82,ALA&M,73,L,4.5,L,146.0,O
5,"Jan 27, 2020",ALA&M,46,SUTHR,67,L,-4.5,L,131.0,U
6,"Jan 25, 2020",ALA&M,58,ALCRN,59,L,-7.0,W,143.0,U
7,"Jan 18, 2020",ALAST,65,ALA&M,56,L,-1.0,L,136.5,U
8,"Jan 13, 2020",MSVAL,72,ALA&M,66,L,-13.5,L,154.5,U
9,"Jan 11, 2020",ARKPB,49,ALA&M,59,W,-6.5,W,132.5,U
10,"Jan 6, 2020",ALA&M,66,JACKS,57,W,-8.0,W,141.5,U
11,"Jan 4, 2020",ALA&M,60,GRAMB,70,L,-7.0,L,148.0,U
12,"Dec 29, 2019",ALA&M,56,ND,82,L,-27.0,W,142.5,U
13,"Dec 20, 2019",N.ALAB,80,ALA&M,92,W,5.0,W,138.5,O
14,"Dec 17, 2019",ALA&M,79,S.ALA,89,L,-18.5,W,139.5,O
15,"Dec 14, 2019",ALA&M,74,MIAMI,88,L,-26.5,W,140.0,O
16,"Dec 7, 2019",JAXST,62,ALA&M,67,W,9.5,W,137.0,U
17,"Nov 25, 2019",TROY,66,ALA&M,80,W,10.5,W,138.5,O
18,"Nov 21, 2019",ALA&M,51,CLEMS,87,L,-31.0,L,135.0,O
19,"Nov 16, 2019",ALA&M,63,MIAOH,79,L,-21.5,W,141.5,O
20,"Nov 14, 2019",ALA&M,53,CINCY,85,L,-33.0,W,133.5,O
21,"Nov 11, 2019",ALA&M,52,UAB,74,L,-23.5,W,133.5,U
22,"Nov 5, 2019",ALA&M,66,TN.ST,106,L,-13.5,L,137.5,O
23,"Mar 9, 2019",ALA&M,58,GRAMB,66,L,-13.0,W,130.5,U
24,"Mar 7, 2019",ALA&M,47,JACKS,66,L,-8.5,L,118.0,U
25,"Mar 4, 2019",TEXSO,66,ALA&M,61,L,12.0,W,148.0,U
26,"Mar 2, 2019",PVA&M,72,ALA&M,65,L,7.5,W,135.0,O
27,"Feb 25, 2019",ALA&M,55,ALCRN,61,L,-5.5,L,125.5,U
28,"Feb 23, 2019",ALA&M,49,SUTHR,59,L,-4.5,L,131.5,U
29,"Feb 16, 2019",ALA&M,62,ALAST,68,L,-10.0,W,130.5,U
