,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ALA&M,58,ALAST,61,W,-4.5,L,131.5,U
1,"Feb 10, 2020",ALAST,57,ARKPB,49,W,4.0,W,121.5,U
2,"Feb 8, 2020",ALAST,87,MSVAL,74,W,8.0,W,150.5,O
3,"Feb 3, 2020",TEXSO,55,ALAST,79,W,5.5,W,141.5,U
4,"Feb 1, 2020",PVA&M,49,ALAST,52,W,7.0,W,136.0,U
5,"Jan 27, 2020",ALAST,60,ALCRN,63,L,-7.0,W,139.5,U
6,"Jan 25, 2020",ALAST,71,SUTHR,80,L,-5.0,L,128.0,O
7,"Jan 18, 2020",ALAST,65,ALA&M,56,W,-1.0,W,136.5,U
8,"Jan 13, 2020",ARKPB,61,ALAST,56,L,-6.5,L,126.5,U
9,"Jan 11, 2020",MSVAL,75,ALAST,81,W,-13.5,L,150.5,O
10,"Jan 6, 2020",ALAST,63,GRAMB,68,L,-8.5,W,138.5,U
11,"Jan 4, 2020",ALAST,67,JACKS,70,L,-7.5,W,138.0,U
12,"Dec 29, 2019",ALAST,59,OREG,98,L,-30.5,L,137.0,O
13,"Dec 22, 2019",ALAST,69,APEAY,80,L,-10.5,L,142.0,O
14,"Dec 21, 2019",UAB,71,ALAST,63,L,10.0,W,126.0,O
15,"Dec 14, 2019",ALAST,57,BOISE,100,L,-20.5,L,136.0,O
16,"Dec 11, 2019",ALAST,41,KANST,86,L,-20.0,L,127.0,P
17,"Dec 9, 2019",ALAST,59,SDKOTA,73,L,-14.0,P,137.5,U
18,"Nov 30, 2019",CHIST,54,ALAST,67,W,-10.0,W,141.5,U
19,"Nov 29, 2019",ALAST,56,CHATT,74,L,-6.5,L,132.0,U
20,"Nov 25, 2019",ALAST,62,VACOM,78,L,-31.0,W,135.0,O
21,"Nov 20, 2019",ALAST,41,TENN,76,L,-28.0,L,139.0,U
22,"Nov 12, 2019",ALAST,56,HOUST,84,L,-27.5,L,139.0,O
23,"Nov 10, 2019",ALAST,50,MIZST,59,L,-18.0,W,136.0,U
24,"Nov 5, 2019",ALAST,64,GONZG,95,L,-36.0,W,151.5,O
25,"Mar 15, 2019",ALAST,66,TEXSO,80,L,-9.0,L,154.0,U
26,"Mar 12, 2019",ALAST,58,JACKS,49,W,-5.5,W,128.0,U
27,"Mar 9, 2019",ALAST,70,JACKS,82,L,-5.0,L,125.0,O
28,"Mar 7, 2019",ALAST,66,GRAMB,93,L,-6.0,L,136.5,O
29,"Mar 4, 2019",PVA&M,96,ALAST,69,L,3.5,L,142.5,O
