,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",TEXAM,74,ALA,68,L,-11.0,L,144.5,U
1,"Feb 15, 2020",LSU,82,ALA,88,W,-2.5,W,165.5,O
2,"Feb 12, 2020",ALA,91,AUBRN,95,L,-8.0,W,159.5,O
3,"Feb 8, 2020",ALA,105,GA,102,W,-1.5,W,162.0,O
4,"Feb 4, 2020",TENN,69,ALA,68,L,-4.5,L,146.5,U
5,"Feb 1, 2020",ARK,82,ALA,78,L,-3.5,L,155.5,O
6,"Jan 29, 2020",ALA,76,LSU,90,L,-5.5,L,166.0,P
7,"Jan 25, 2020",KANST,74,ALA,77,W,-9.0,L,146.0,O
8,"Jan 22, 2020",ALA,77,VANDY,62,W,10.0,W,153.5,U
9,"Jan 18, 2020",MIZZU,74,ALA,88,W,-6.5,W,147.0,O
10,"Jan 15, 2020",AUBRN,64,ALA,83,W,1.5,W,159.0,U
11,"Jan 11, 2020",ALA,67,KENTY,76,L,-10.0,W,153.5,U
12,"Jan 8, 2020",MISST,69,ALA,90,W,-3.0,W,153.0,O
13,"Jan 4, 2020",ALA,98,FLA,104,L,-7.5,W,150.0,O
14,"Dec 29, 2019",RICHM,78,ALA,90,W,-6.5,W,155.0,O
15,"Dec 21, 2019",BELMT,72,ALA,92,W,-1.0,W,160.5,O
16,"Dec 18, 2019",ALA,105,SAMFD,87,W,10.0,W,160.5,O
17,"Dec 14, 2019",ALA,71,PENST,73,L,-11.5,W,154.0,U
18,"Dec 6, 2019",SFA,68,ALA,78,W,-8.5,W,160.0,U
19,"Nov 29, 2019",ALA,83,S.MISS,68,W,12.0,W,147.5,O
20,"Nov 28, 2019",IOWAS,104,ALA,89,L,3.0,L,151.5,O
21,"Nov 27, 2019",UNC,76,ALA,67,L,9.5,W,155.0,U
22,"Nov 19, 2019",FURMN,73,ALA,81,W,-3.5,W,153.0,O
23,"Nov 15, 2019",ALA,79,RHODEI,93,L,1.0,L,149.0,O
24,"Nov 11, 2019",FLAAT,59,ALA,78,W,-12.5,W,154.0,U
25,"Nov 5, 2019",PENN,81,ALA,80,L,-7.5,L,152.5,O
26,"Mar 20, 2019",NORFK,80,ALA,79,L,-16.0,L,146.5,O
27,"Mar 15, 2019",ALA,55,KENTY,73,L,-12.5,L,136.5,U
28,"Mar 14, 2019",ALA,62,MISS,57,W,-3.5,W,143.5,U
29,"Mar 9, 2019",ALA,70,ARK,82,L,-4.5,L,146.0,O
