,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",ARKPB,52,ALCRN,60,W,-8.0,P,129.5,U
1,"Feb 15, 2020",MSVAL,88,ALCRN,92,W,-14.0,L,160.5,O
2,"Feb 10, 2020",ALCRN,71,GRAMB,80,L,-4.5,L,141.5,O
3,"Feb 8, 2020",ALCRN,57,JACKS,86,L,-3.0,L,139.0,O
4,"Feb 1, 2020",ALCRN,82,SUTHR,93,L,-2.5,L,138.0,O
5,"Jan 27, 2020",ALAST,60,ALCRN,63,W,-7.0,L,139.5,U
6,"Jan 25, 2020",ALA&M,58,ALCRN,59,W,-7.0,L,143.0,U
7,"Jan 20, 2020",ALCRN,82,ARKPB,54,W,3.0,W,134.0,O
8,"Jan 18, 2020",ALCRN,105,MSVAL,73,W,7.5,W,155.5,O
9,"Jan 13, 2020",GRAMB,69,ALCRN,87,W,2.5,W,141.0,O
10,"Jan 11, 2020",JACKS,76,ALCRN,65,L,1.0,L,138.5,O
11,"Jan 6, 2020",ALCRN,95,TEXSO,80,W,-11.0,W,146.0,O
12,"Jan 4, 2020",ALCRN,70,PVA&M,84,L,-11.0,L,139.0,O
13,"Dec 29, 2019",ALCRN,57,SACLA,92,L,-16.0,L,144.0,O
14,"Dec 20, 2019",ECCLES,71,ALCRN,122,W,0.0,,0.0,
15,"Dec 16, 2019",ALCRN,57,TULAN,68,L,-16.5,W,143.5,U
16,"Dec 9, 2019",RUST,62,ALCRN,108,W,0.0,,0.0,
17,"Nov 27, 2019",ALCRN,50,ARKLR,67,L,-15.5,L,133.5,U
18,"Nov 21, 2019",OLLU,56,ALCRN,92,W,0.0,,0.0,
19,"Nov 19, 2019",ALCRN,64,NCST,87,L,-32.0,W,147.0,O
20,"Nov 16, 2019",ALCRN,56,MEMPH,102,L,-28.5,L,146.0,O
21,"Nov 12, 2019",PQUIN,59,ALCRN,111,W,0.0,,0.0,
22,"Nov 9, 2019",ALCRN,72,ULMON,73,L,-14.0,W,138.0,O
23,"Nov 5, 2019",ALCRN,54,DPAUL,72,L,-25.0,W,143.0,U
24,"Mar 12, 2019",ALCRN,66,PVA&M,86,L,-16.0,L,138.0,O
25,"Mar 9, 2019",ALCRN,64,PVA&M,98,L,-15.5,L,136.5,O
26,"Mar 7, 2019",ALCRN,72,TEXSO,99,L,-16.0,L,147.5,O
27,"Mar 2, 2019",ALCRN,46,SUTHR,61,L,-5.0,L,129.0,U
28,"Feb 25, 2019",ALA&M,55,ALCRN,61,W,-5.5,W,125.5,U
29,"Feb 23, 2019",ALAST,69,ALCRN,74,W,3.5,W,132.5,O
