,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",AMERN,68,BUCKN,72,L,-2.0,L,141.5,U
1,"Feb 12, 2020",LOYMD,76,AMERN,81,W,-3.5,W,148.0,O
2,"Feb 8, 2020",ARMY,62,AMERN,72,W,-6.0,W,145.0,U
3,"Feb 5, 2020",AMERN,62,NAVY,54,W,-2.5,W,133.0,U
4,"Feb 1, 2020",AMERN,70,LAFAY,82,L,-3.5,L,144.5,O
5,"Jan 27, 2020",LEHIH,56,AMERN,77,W,-7.0,W,145.0,U
6,"Jan 25, 2020",COLGT,79,AMERN,69,L,3.0,L,143.5,O
7,"Jan 22, 2020",AMERN,93,LOYMD,91,W,3.0,L,142.0,O
8,"Jan 18, 2020",HOLYC,69,AMERN,81,W,-12.0,P,142.5,O
9,"Jan 15, 2020",BUCKN,60,AMERN,61,W,-3.5,L,144.0,U
10,"Jan 11, 2020",AMERN,73,LEHIH,82,L,-1.0,L,142.0,O
11,"Jan 8, 2020",AMERN,68,ARMY,60,W,1.0,W,143.5,U
12,"Jan 5, 2020",BOSTU,63,AMERN,67,W,-2.0,W,142.5,U
13,"Jan 2, 2020",AMERN,51,COLGT,65,L,-8.5,L,149.5,U
14,"Dec 28, 2019",AMERN,60,GTOWN,80,L,-17.0,L,155.5,U
15,"Dec 21, 2019",STONY,77,AMERN,74,L,0.0,L,139.0,O
16,"Dec 17, 2019",AMERN,82,MTSTM,76,W,0.0,,133.0,O
17,"Dec 7, 2019",AMERN,53,GMASN,68,L,-9.0,L,138.0,U
18,"Dec 3, 2019",UMBC,61,AMERN,85,W,-3.5,W,135.5,O
19,"Nov 30, 2019",AMERN,64,ALBNY,68,L,-5.0,W,139.5,U
20,"Nov 26, 2019",HOWRD,69,AMERN,86,W,-16.5,W,145.5,O
21,"Nov 16, 2019",AMERN,76,STFPA,79,L,-3.0,P,146.5,O
22,"Nov 12, 2019",AMERN,67,GWASH,65,W,-4.0,W,135.0,U
23,"Nov 8, 2019",W&M,79,AMERN,70,L,-3.5,L,145.5,O
24,"Nov 5, 2019",AMERN,80,SIENA,96,L,-7.0,L,137.0,O
25,"Mar 7, 2019",NAVY,60,AMERN,56,L,-8.0,L,137.0,U
26,"Mar 2, 2019",AMERN,86,HOLYC,66,W,-2.5,W,132.5,O
27,"Feb 27, 2019",LEHIH,80,AMERN,66,L,-2.0,L,151.0,U
28,"Feb 24, 2019",AMERN,77,ARMY,66,W,-2.0,W,140.5,O
29,"Feb 20, 2019",AMERN,68,LAFAY,70,L,2.5,L,144.5,U
