,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",APPST,62,GASOU,57,W,-5.5,W,141.0,U
1,"Feb 13, 2020",APPST,65,GAST,76,L,-5.5,L,144.5,U
2,"Feb 8, 2020",TEXST,57,APPST,60,W,2.0,W,130.5,U
3,"Feb 6, 2020",TEXAR,50,APPST,57,W,1.0,W,135.5,U
4,"Feb 1, 2020",APPST,86,ARKLR,93,L,-7.0,P,134.0,O
5,"Jan 30, 2020",APPST,71,ARKST,64,W,-1.5,W,135.0,P
6,"Jan 25, 2020",APPST,78,COCAR,58,W,-6.5,W,144.5,U
7,"Jan 18, 2020",ARKLR,73,APPST,57,L,-1.5,L,134.5,U
8,"Jan 16, 2020",ARKST,80,APPST,83,W,-5.5,L,134.0,O
9,"Jan 11, 2020",APPST,57,TEXST,82,L,-7.0,L,130.0,O
10,"Jan 9, 2020",APPST,56,TEXAR,66,L,-5.5,L,138.5,U
11,"Jan 6, 2020",ULLAF,81,APPST,73,L,-8.0,L,143.5,O
12,"Jan 4, 2020",GASOU,72,APPST,74,W,-1.5,W,142.0,O
13,"Jan 2, 2020",GAST,69,APPST,60,L,-3.0,L,144.5,U
14,"Dec 29, 2019",APPST,60,NCST,72,L,-12.0,P,144.0,U
15,"Dec 21, 2019",APPST,70,TROY,65,W,4.5,W,135.5,U
16,"Dec 19, 2019",APPST,81,S.ALA,71,W,-5.0,W,140.0,O
17,"Dec 14, 2019",APPST,81,HOWRD,59,W,12.5,W,139.5,O
18,"Dec 3, 2019",STAND,58,APPST,90,W,0.0,,0.0,
19,"Nov 26, 2019",APPST,69,E.TEN,78,L,-11.0,W,130.0,O
20,"Nov 21, 2019",CHARL,55,APPST,64,W,-3.5,W,125.5,U
21,"Nov 18, 2019",APPST,41,NCGRE,55,L,-9.5,L,131.5,U
22,"Nov 16, 2019",TNTEC,47,APPST,69,W,-5.0,W,134.5,U
23,"Nov 15, 2019",MONST,59,APPST,56,L,-4.0,L,144.5,U
24,"Nov 12, 2019",E.CAR,62,APPST,68,W,-6.5,L,142.5,U
25,"Nov 7, 2019",FERUM,56,APPST,83,W,-46.5,L,154.5,U
26,"Nov 5, 2019",APPST,71,MICH,79,L,-16.5,W,149.0,O
27,"Mar 12, 2019",APPST,80,ULMON,89,L,-7.5,L,157.0,O
28,"Mar 9, 2019",S.ALA,78,APPST,71,L,-5.0,L,151.0,U
29,"Mar 7, 2019",TROY,64,APPST,72,W,-9.5,L,151.5,U
