,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",ARZST,80,CAL,75,W,6.0,L,135.0,O
1,"Feb 13, 2020",ARZST,74,STANF,69,W,-2.5,W,138.5,O
2,"Feb 8, 2020",USC,64,ARZST,66,W,-3.5,L,144.5,U
3,"Feb 6, 2020",UCLA,66,ARZST,84,W,-6.0,W,140.5,O
4,"Feb 1, 2020",ARZST,87,WASH,83,W,-5.5,W,137.0,O
5,"Jan 29, 2020",ARZST,65,WASST,67,L,2.0,L,146.0,U
6,"Jan 25, 2020",ARIZ,65,ARZST,66,W,5.0,W,147.0,U
7,"Jan 18, 2020",UTAH,64,ARZST,83,W,-6.5,W,146.0,O
8,"Jan 16, 2020",COLO,68,ARZST,61,L,0.0,L,141.0,U
9,"Jan 11, 2020",ARZST,69,OREG,78,L,-10.5,W,142.0,O
10,"Jan 9, 2020",ARZST,82,OREST,76,W,-6.0,W,144.5,O
11,"Jan 4, 2020",ARZST,47,ARIZ,75,L,-10.5,L,146.5,U
12,"Dec 28, 2019",TEXSO,81,ARZST,98,W,-19.0,L,153.5,O
13,"Dec 21, 2019",CREIG,67,ARZST,60,L,-3.0,L,150.5,U
14,"Dec 18, 2019",STMAR,96,ARZST,56,L,0.0,L,136.5,O
15,"Dec 14, 2019",GA,59,ARZST,79,W,-5.0,W,156.0,U
16,"Dec 11, 2019",PVA&M,79,ARZST,88,W,-20.5,L,141.5,O
17,"Dec 7, 2019",ULLAF,65,ARZST,77,W,-16.5,L,151.5,U
18,"Dec 3, 2019",ARZST,71,SF,67,W,-1.0,W,154.5,U
19,"Nov 26, 2019",ARZST,67,PRNCE,65,W,10.0,L,142.0,U
20,"Nov 24, 2019",VIRGA,48,ARZST,45,L,7.5,W,124.5,U
21,"Nov 23, 2019",ARZST,80,STJON,67,W,3.5,W,158.0,U
22,"Nov 17, 2019",RIDER,55,ARZST,92,W,-11.5,W,161.0,U
23,"Nov 14, 2019",CCONN,49,ARZST,90,W,-29.0,W,151.0,U
24,"Nov 8, 2019",ARZST,71,COLO,81,L,-5.5,L,146.0,O
25,"Mar 22, 2019",ARZST,74,BUFF,91,L,-6.0,L,160.0,O
26,"Mar 20, 2019",STJON,65,ARZST,74,W,-2.0,W,153.0,U
27,"Mar 15, 2019",OREG,79,ARZST,75,L,2.5,L,133.0,O
28,"Mar 14, 2019",UCLA,72,ARZST,83,W,-4.5,W,153.0,O
29,"Mar 9, 2019",ARZST,72,ARIZ,64,W,-2.0,W,143.5,U
