,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ARIZ,69,STANF,60,W,3.5,W,136.0,U
1,"Feb 13, 2020",ARIZ,68,CAL,52,W,10.0,W,132.0,U
2,"Feb 8, 2020",UCLA,65,ARIZ,52,L,-12.5,L,137.5,U
3,"Feb 6, 2020",USC,80,ARIZ,85,W,-10.0,L,140.0,O
4,"Feb 1, 2020",ARIZ,66,WASST,49,W,8.5,W,143.5,U
5,"Jan 30, 2020",ARIZ,75,WASH,72,W,2.0,W,133.5,O
6,"Jan 25, 2020",ARIZ,65,ARZST,66,L,5.0,L,147.0,U
7,"Jan 18, 2020",COLO,54,ARIZ,75,W,-6.0,W,140.5,U
8,"Jan 16, 2020",UTAH,77,ARIZ,93,W,-13.5,W,140.0,O
9,"Jan 12, 2020",ARIZ,65,OREST,82,L,4.0,L,143.0,O
10,"Jan 9, 2020",ARIZ,73,OREG,74,L,-3.0,W,141.0,O
11,"Jan 4, 2020",ARZST,47,ARIZ,75,W,-10.5,W,146.5,U
12,"Dec 21, 2019",ARIZ,67,STJON,70,L,12.0,L,153.0,U
13,"Dec 14, 2019",GONZG,84,ARIZ,80,L,-2.0,L,150.5,O
14,"Dec 11, 2019",NEBOM,49,ARIZ,99,W,-20.5,W,146.5,O
15,"Dec 7, 2019",ARIZ,58,BAYLR,63,L,-4.0,L,144.0,U
16,"Dec 1, 2019",WAKE,66,ARIZ,73,W,-12.5,L,148.5,U
17,"Nov 29, 2019",PENN,82,ARIZ,92,W,-11.5,L,146.5,O
18,"Nov 28, 2019",PEPPR,91,ARIZ,93,W,-15.5,L,152.5,O
19,"Nov 24, 2019",LONGB,67,ARIZ,104,W,-25.5,W,142.5,O
20,"Nov 21, 2019",SD.ST,64,ARIZ,71,W,-25.0,L,146.0,U
21,"Nov 17, 2019",NMXST,53,ARIZ,83,W,-12.5,W,136.5,U
22,"Nov 14, 2019",SJ.ST,39,ARIZ,87,W,-31.0,W,144.0,U
23,"Nov 10, 2019",ILL,69,ARIZ,90,W,-7.0,W,143.5,O
24,"Nov 6, 2019",NARIZ,52,ARIZ,91,W,-23.0,W,146.5,U
25,"Mar 13, 2019",ARIZ,65,USC,78,L,2.0,L,138.5,O
26,"Mar 9, 2019",ARZST,72,ARIZ,64,L,-2.0,L,143.5,U
27,"Mar 2, 2019",ARIZ,47,OREG,73,L,-4.5,L,130.5,U
28,"Feb 28, 2019",ARIZ,74,OREST,72,W,-4.5,W,136.0,O
29,"Feb 24, 2019",STANF,54,ARIZ,70,W,-5.0,W,141.0,U
