,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",ULMON,66,ARKST,52,L,-7.5,L,132.5,U
1,"Feb 15, 2020",ARKST,64,TEXST,69,L,-8.5,W,135.5,U
2,"Feb 13, 2020",ARKST,67,TEXAR,77,L,-7.0,L,140.5,O
3,"Feb 8, 2020",ARKST,87,ARKLR,90,L,-9.0,W,140.0,O
4,"Feb 1, 2020",COCAR,83,ARKST,77,L,-2.0,L,149.5,O
5,"Jan 30, 2020",APPST,71,ARKST,64,L,-1.5,L,135.0,P
6,"Jan 25, 2020",ARKST,78,TROY,62,W,-1.5,W,141.0,U
7,"Jan 23, 2020",S.ALA,71,ARKST,75,W,2.5,W,133.5,O
8,"Jan 18, 2020",ARKST,80,COCAR,75,W,-8.0,W,146.0,O
9,"Jan 16, 2020",ARKST,80,APPST,83,L,-5.5,W,134.0,O
10,"Jan 11, 2020",TROY,68,ARKST,76,W,-4.5,W,141.5,O
11,"Jan 9, 2020",ARKST,59,S.ALA,75,L,-6.5,L,134.5,U
12,"Jan 6, 2020",GAST,87,ARKST,90,W,3.5,W,144.5,O
13,"Jan 4, 2020",TEXST,70,ARKST,67,L,4.5,W,130.0,O
14,"Jan 2, 2020",TEXAR,73,ARKST,52,L,3.0,L,138.0,U
15,"Dec 28, 2019",FREED,73,ARKST,84,W,0.0,,0.0,
16,"Dec 21, 2019",ARKST,62,ULMON,59,W,-2.5,W,135.0,U
17,"Dec 18, 2019",ULLAF,67,ARKST,79,W,-3.0,W,146.0,P
18,"Dec 11, 2019",ARKST,53,MIZST,75,L,-9.5,L,132.0,U
19,"Dec 7, 2019",ARKST,66,TULSA,63,W,-12.5,W,132.0,U
20,"Dec 3, 2019",NEBOM,73,ARKST,78,W,2.5,W,141.0,O
21,"Nov 30, 2019",SFA,76,ARKST,57,L,1.5,L,148.5,U
22,"Nov 20, 2019",ARKST,80,COLST,78,W,-12.0,W,137.5,O
23,"Nov 17, 2019",IDAHO,68,ARKST,82,W,-8.5,W,133.5,O
24,"Nov 15, 2019",UCDAV,67,ARKST,80,W,-4.0,W,131.0,O
25,"Nov 14, 2019",VMI,56,ARKST,71,W,-7.0,W,142.0,U
26,"Nov 8, 2019",ARKST,43,MISS,71,L,-21.5,L,144.0,U
27,"Nov 6, 2019",ARMONT,49,ARKST,65,W,0.0,,0.0,
28,"Mar 12, 2019",ARKST,67,S.ALA,75,L,-4.5,L,142.0,P
29,"Mar 9, 2019",ULLAF,90,ARKST,87,L,2.0,L,157.0,O
