,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",ARK,59,FLA,73,L,-7.5,L,141.0,U
1,"Feb 15, 2020",MISST,78,ARK,77,L,-2.5,L,141.5,O
2,"Feb 11, 2020",ARK,61,TENN,82,L,-4.0,L,135.0,O
3,"Feb 8, 2020",ARK,79,MIZZU,83,L,1.5,L,135.5,O
4,"Feb 4, 2020",AUBRN,79,ARK,76,L,-1.0,L,147.0,O
5,"Feb 1, 2020",ARK,82,ALA,78,W,-3.5,W,155.5,O
6,"Jan 29, 2020",S.CAR,79,ARK,77,L,-7.0,L,142.5,O
7,"Jan 25, 2020",TCU,67,ARK,78,W,-5.5,W,132.5,O
8,"Jan 22, 2020",ARK,70,MISST,77,L,-4.0,L,136.0,O
9,"Jan 18, 2020",KENTY,73,ARK,66,L,-2.0,L,138.0,O
10,"Jan 15, 2020",VANDY,55,ARK,75,W,-14.5,W,142.0,U
11,"Jan 11, 2020",ARK,76,MISS,72,W,2.0,W,140.0,O
12,"Jan 8, 2020",ARK,77,LSU,79,L,-6.0,W,147.5,O
13,"Jan 4, 2020",TEXAM,59,ARK,69,W,-15.0,L,127.5,O
14,"Dec 29, 2019",ARK,71,INDY,64,W,-6.5,W,140.0,U
15,"Dec 21, 2019",VALPO,68,ARK,72,W,-13.0,L,144.5,U
16,"Dec 14, 2019",TULSA,79,ARK,98,W,-11.0,W,128.5,O
17,"Dec 7, 2019",ARK,79,W.KEN,86,L,2.0,L,137.0,O
18,"Dec 3, 2019",APEAY,61,ARK,69,W,-16.0,L,140.0,U
19,"Nov 30, 2019",N.KENT,60,ARK,66,W,-15.0,L,131.5,U
20,"Nov 25, 2019",ARK,62,GATEC,61,W,2.5,L,135.0,U
21,"Nov 22, 2019",SDKOTA,56,ARK,77,W,-15.5,W,138.0,U
22,"Nov 19, 2019",TEXSO,51,ARK,82,W,-24.0,W,149.0,U
23,"Nov 16, 2019",MONTA,46,ARK,64,W,-15.5,W,138.0,U
24,"Nov 12, 2019",N.TEX,43,ARK,66,W,-13.0,W,134.5,U
25,"Nov 5, 2019",RICE,43,ARK,91,W,-18.5,W,156.5,U
26,"Mar 23, 2019",ARK,60,INDY,63,L,-5.5,W,147.0,U
27,"Mar 19, 2019",ARK,84,PROV,72,W,-7.5,W,144.0,O
28,"Mar 14, 2019",ARK,50,FLA,66,L,-3.5,L,134.5,U
29,"Mar 9, 2019",ALA,70,ARK,82,W,-4.5,W,146.0,O
