,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",ARMY,77,LOYMD,81,L,-5.0,W,151.0,O
1,"Feb 15, 2020",LEHIH,66,ARMY,79,W,-4.5,W,143.0,O
2,"Feb 12, 2020",LAFAY,48,ARMY,65,W,2.0,W,144.5,U
3,"Feb 8, 2020",ARMY,62,AMERN,72,L,-6.0,L,145.0,U
4,"Feb 5, 2020",BOSTU,80,ARMY,66,L,2.0,L,142.0,O
5,"Feb 1, 2020",ARMY,80,LEHIH,79,W,-1.0,W,146.0,O
6,"Jan 29, 2020",BUCKN,59,ARMY,68,W,-2.0,W,145.5,U
7,"Jan 25, 2020",ARMY,73,NAVY,66,W,-5.0,W,129.5,O
8,"Jan 22, 2020",ARMY,94,LAFAY,74,W,-7.5,W,142.0,O
9,"Jan 18, 2020",LOYMD,80,ARMY,81,W,-2.0,L,142.0,O
10,"Jan 16, 2020",ARMY,79,HOLYC,67,W,2.5,W,143.0,O
11,"Jan 11, 2020",ARMY,59,BOSTU,81,L,-7.5,L,138.5,O
12,"Jan 8, 2020",AMERN,68,ARMY,60,L,1.0,L,143.5,U
13,"Jan 6, 2020",COLGT,70,ARMY,65,L,7.0,W,141.5,U
14,"Jan 2, 2020",ARMY,65,BUCKN,67,L,-7.0,W,150.5,U
15,"Dec 21, 2019",ARMY,62,WAGNR,82,L,2.0,L,147.5,U
16,"Dec 14, 2019",ARMY,89,BUFF,76,W,-15.5,W,159.0,O
17,"Dec 11, 2019",ARMY,60,MERRIM,69,L,-1.5,L,133.0,U
18,"Dec 7, 2019",LIU,85,ARMY,72,L,-2.0,L,155.5,O
19,"Dec 4, 2019",NJIT,65,ARMY,75,W,0.0,W,142.5,U
20,"Nov 30, 2019",ARMY,66,MARST,64,W,1.0,W,134.0,U
21,"Nov 23, 2019",ARMY,73,BINGH,88,L,3.0,L,144.5,O
22,"Nov 18, 2019",FDU,65,ARMY,81,W,-1.0,W,144.5,O
23,"Nov 12, 2019",AIRFO,69,ARMY,57,L,1.0,L,148.5,U
24,"Nov 8, 2019",MRCHMR,43,ARMY,80,W,0.0,,0.0,
25,"Nov 5, 2019",ARMY,54,VILLA,97,L,-23.0,L,145.0,O
26,"Mar 7, 2019",ARMY,70,LEHIH,75,L,-5.5,W,153.0,U
27,"Mar 2, 2019",ARMY,61,BUCKN,62,L,-9.5,W,148.0,U
28,"Feb 27, 2019",LOYMD,69,ARMY,79,W,-4.5,W,146.0,O
29,"Feb 24, 2019",AMERN,77,ARMY,66,L,-2.0,L,140.5,O
