,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",AUBRN,73,MIZZU,85,L,3.5,L,137.0,O
1,"Feb 12, 2020",ALA,91,AUBRN,95,W,-8.0,L,159.5,O
2,"Feb 8, 2020",LSU,90,AUBRN,91,W,-5.0,L,155.0,O
3,"Feb 4, 2020",AUBRN,79,ARK,76,W,-1.0,W,147.0,O
4,"Feb 1, 2020",KENTY,66,AUBRN,75,W,-2.5,W,144.0,U
5,"Jan 28, 2020",AUBRN,83,MISS,82,W,5.5,L,142.0,O
6,"Jan 25, 2020",IOWAS,76,AUBRN,80,W,-8.0,L,146.5,O
7,"Jan 22, 2020",S.CAR,67,AUBRN,80,W,-11.5,W,147.0,P
8,"Jan 18, 2020",AUBRN,47,FLA,69,L,-2.5,L,140.5,U
9,"Jan 15, 2020",AUBRN,64,ALA,83,L,1.5,L,159.0,U
10,"Jan 11, 2020",GA,60,AUBRN,82,W,-10.5,W,153.0,U
11,"Jan 8, 2020",VANDY,79,AUBRN,83,W,-14.5,L,153.5,O
12,"Jan 4, 2020",AUBRN,80,MISST,68,W,0.0,,142.0,O
13,"Dec 29, 2019",LIPSC,59,AUBRN,86,W,-21.0,W,148.5,U
14,"Dec 21, 2019",LEHIH,51,AUBRN,74,W,-25.0,L,146.5,U
15,"Dec 19, 2019",NCST,73,AUBRN,79,W,-7.5,L,153.0,U
16,"Dec 14, 2019",STL,61,AUBRN,67,W,-11.0,L,141.5,U
17,"Dec 5, 2019",FURMN,78,AUBRN,81,W,-12.5,L,148.0,O
18,"Nov 26, 2019",RICHM,65,AUBRN,79,W,-9.5,W,145.5,U
19,"Nov 25, 2019",AUBRN,84,NEWMX,59,W,9.5,W,157.0,U
20,"Nov 18, 2019",COLGT,62,AUBRN,91,W,-14.5,W,150.0,O
21,"Nov 15, 2019",CSNOR,70,AUBRN,116,W,-23.0,W,155.0,O
22,"Nov 12, 2019",AUBRN,70,S.ALA,69,W,7.0,L,145.0,U
23,"Nov 8, 2019",DAVID,66,AUBRN,76,W,-2.5,W,145.0,U
24,"Nov 5, 2019",GASOU,74,AUBRN,83,W,-14.0,L,151.0,O
25,"Apr 6, 2019",AUBRN,62,VIRGA,63,L,-6.0,W,132.0,U
26,"Mar 31, 2019",AUBRN,77,KENTY,71,W,-4.5,W,142.5,O
27,"Mar 29, 2019",AUBRN,97,UNC,80,W,-5.5,W,163.5,O
28,"Mar 23, 2019",AUBRN,89,KANSA,75,W,2.0,W,147.0,O
29,"Mar 21, 2019",NMXST,77,AUBRN,78,W,-6.0,L,146.0,O
