,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",APEAY,78,SIUED,60,W,10.0,W,143.5,U
1,"Feb 15, 2020",EKENT,85,APEAY,93,W,-12.0,L,156.5,O
2,"Feb 13, 2020",MURRAY,68,APEAY,71,W,-3.0,P,145.0,U
3,"Feb 8, 2020",APEAY,63,BELMT,71,L,-6.5,L,153.0,U
4,"Feb 6, 2020",APEAY,68,TN.ST,70,L,4.0,L,149.5,U
5,"Feb 1, 2020",E.ILL,64,APEAY,68,W,-9.0,L,147.0,U
6,"Jan 30, 2020",SIUED,58,APEAY,82,W,-16.0,W,148.5,U
7,"Jan 25, 2020",BELMT,78,APEAY,86,W,1.5,W,153.5,O
8,"Jan 23, 2020",TN.ST,74,APEAY,99,W,-8.5,W,147.0,O
9,"Jan 18, 2020",APEAY,92,TNMAR,81,W,4.5,W,154.0,O
10,"Jan 16, 2020",APEAY,84,SEMIZ,59,W,6.5,W,141.0,O
11,"Jan 11, 2020",APEAY,71,JAXST,67,W,2.0,W,144.5,U
12,"Jan 9, 2020",APEAY,75,TNTEC,62,W,7.0,W,137.5,U
13,"Jan 4, 2020",TNMAR,63,APEAY,82,W,-10.0,W,157.5,U
14,"Jan 2, 2020",SEMIZ,63,APEAY,78,W,-9.5,W,142.5,U
15,"Dec 30, 2019",APEAY,48,GA,78,L,-13.0,L,154.5,U
16,"Dec 22, 2019",ALAST,69,APEAY,80,W,-10.5,W,142.0,O
17,"Dec 21, 2019",APEAY,77,DUQU,86,L,-9.0,P,139.0,O
18,"Dec 17, 2019",MCKEN,61,APEAY,80,W,0.0,,0.0,
19,"Dec 12, 2019",APEAY,53,W.VA,84,L,-15.0,L,145.5,U
20,"Dec 7, 2019",N.FLA,83,APEAY,90,W,-3.0,W,155.0,O
21,"Dec 3, 2019",APEAY,61,ARK,69,L,-16.0,W,140.0,U
22,"Nov 25, 2019",SC.ST,66,APEAY,92,W,-15.5,W,146.0,O
23,"Nov 23, 2019",SELA,60,APEAY,81,W,-11.0,W,145.5,U
24,"Nov 20, 2019",APEAY,72,VANDY,90,L,-8.0,L,141.0,O
25,"Nov 16, 2019",APEAY,65,TULSA,72,L,-7.5,W,145.5,U
26,"Nov 9, 2019",APEAY,75,W.KEN,97,L,-11.5,L,148.0,O
27,"Nov 5, 2019",OAKCI,67,APEAY,110,W,0.0,,0.0,
28,"Mar 8, 2019",APEAY,67,BELMT,83,L,-8.5,L,159.5,U
29,"Mar 7, 2019",MORHD,81,APEAY,95,W,-9.0,W,149.0,O
