,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",SACLA,75,BYU,85,W,-14.5,L,152.5,O
1,"Feb 15, 2020",BYU,72,SD,71,W,13.5,L,144.5,U
2,"Feb 13, 2020",BYU,77,LOYMA,54,W,11.5,W,141.5,U
3,"Feb 8, 2020",SF,76,BYU,90,W,-9.5,W,149.0,O
4,"Feb 6, 2020",BYU,85,PORTL,54,W,16.5,W,151.0,U
5,"Feb 1, 2020",STMAR,79,BYU,81,W,-6.0,L,146.5,O
6,"Jan 30, 2020",PEPPR,80,BYU,107,W,-13.0,W,155.5,O
7,"Jan 25, 2020",BYU,82,SF,83,L,2.5,L,147.5,O
8,"Jan 23, 2020",BYU,74,PACIF,60,W,6.0,W,136.5,U
9,"Jan 18, 2020",BYU,69,GONZG,92,L,-13.0,L,158.0,O
10,"Jan 16, 2020",SD,70,BYU,93,W,-15.0,W,141.5,O
11,"Jan 11, 2020",PORTL,70,BYU,96,W,-18.0,W,138.5,O
12,"Jan 9, 2020",BYU,84,STMAR,87,L,-6.0,W,135.5,O
13,"Jan 4, 2020",LOYMA,38,BYU,63,W,-16.0,W,135.0,U
14,"Dec 28, 2019",ORALR,73,BYU,79,W,-14.0,L,152.5,U
15,"Dec 21, 2019",WEBER,61,BYU,91,W,-17.5,W,137.0,O
16,"Dec 14, 2019",BYU,68,UT.ST,64,W,1.0,W,149.0,U
17,"Dec 10, 2019",NEV,42,BYU,75,W,-8.5,W,153.5,U
18,"Dec 7, 2019",UNLV,50,BYU,83,W,-10.0,W,137.5,U
19,"Dec 4, 2019",BYU,95,UTAH,102,L,2.5,L,144.5,O
20,"Nov 30, 2019",MON.T,63,BYU,98,W,0.0,,0.0,
21,"Nov 27, 2019",VATEC,77,BYU,90,W,1.5,W,135.0,O
22,"Nov 26, 2019",KANSA,71,BYU,56,L,12.5,L,146.5,U
23,"Nov 25, 2019",BYU,78,UCLA,63,W,-1.5,W,139.5,O
24,"Nov 20, 2019",BYU,68,BOISE,72,L,1.0,L,146.5,U
25,"Nov 15, 2019",BYU,72,HOUST,71,W,-11.5,W,141.0,O
26,"Nov 13, 2019",SUTAH,63,BYU,68,W,-11.5,L,150.0,U
27,"Nov 9, 2019",SD.ST,76,BYU,71,L,-3.5,L,141.5,O
28,"Nov 5, 2019",FULLR,58,BYU,76,W,-15.5,W,150.0,U
29,"Mar 10, 2019",SD,80,BYU,57,L,-3.5,L,144.5,U
