,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",BALL,59,BUFF,72,L,-4.0,L,146.0,U
1,"Feb 15, 2020",BOWLG,77,BALL,71,L,-5.0,L,138.0,O
2,"Feb 11, 2020",N.ILL,59,BALL,63,W,-7.0,L,125.0,U
3,"Feb 8, 2020",BALL,64,WMICH,68,L,5.5,L,133.0,U
4,"Feb 4, 2020",BALL,62,KENT,54,W,-4.0,W,136.5,U
5,"Feb 1, 2020",OHIO,54,BALL,65,W,-8.5,W,135.5,U
6,"Jan 28, 2020",BALL,61,BOWLG,67,L,-2.0,L,139.5,U
7,"Jan 25, 2020",BALL,66,CMICH,71,L,2.0,L,146.5,U
8,"Jan 18, 2020",MIAOH,62,BALL,71,W,-8.5,W,138.0,U
9,"Jan 14, 2020",BALL,69,EMICH,52,W,3.5,W,124.5,U
10,"Jan 10, 2020",BALL,60,AKRON,75,L,-4.0,L,135.5,U
11,"Jan 7, 2020",BUFF,68,BALL,88,W,-4.0,W,147.5,O
12,"Jan 3, 2020",TOLDO,57,BALL,61,W,-1.5,W,137.0,U
13,"Dec 25, 2019",PORTL,46,BALL,61,W,-10.5,W,134.0,U
14,"Dec 24, 2019",BALL,70,UTEP,71,L,2.5,L,127.0,O
15,"Dec 22, 2019",BALL,64,WASH,85,L,-6.5,L,134.5,O
16,"Dec 18, 2019",BALL,65,GATEC,47,W,-5.0,W,132.5,U
17,"Dec 7, 2019",IUPUI,54,BALL,102,W,-12.0,W,134.5,O
18,"Dec 3, 2019",LOYCH,70,BALL,58,L,-1.0,L,128.5,U
19,"Nov 26, 2019",W.ILL,69,BALL,62,L,-14.5,L,145.0,U
20,"Nov 23, 2019",HOWRD,69,BALL,100,W,-23.5,W,140.0,O
21,"Nov 20, 2019",N.KENT,59,BALL,57,L,-7.5,L,131.5,U
22,"Nov 17, 2019",BALL,69,INDST,55,W,2.0,W,144.0,U
23,"Nov 13, 2019",BALL,67,ILCHI,48,W,4.5,W,143.5,U
24,"Nov 9, 2019",BALL,75,EVANS,79,L,-1.5,L,144.0,O
25,"Nov 5, 2019",DEFIA,43,BALL,87,W,0.0,,0.0,
26,"Mar 14, 2019",BALL,86,BOWLG,99,L,1.5,L,143.5,O
27,"Mar 11, 2019",BALL,61,EMICH,43,W,-2.5,W,132.0,U
28,"Mar 8, 2019",N.ILL,64,BALL,57,L,-5.0,L,141.0,U
29,"Mar 5, 2019",BALL,61,EMICH,68,L,-1.5,L,134.0,U
