,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",W.VA,59,BAYLR,70,W,-5.0,W,129.5,U
1,"Feb 10, 2020",BAYLR,52,TEXAS,45,W,6.0,W,128.0,U
2,"Feb 8, 2020",OKST,70,BAYLR,78,W,-12.5,L,129.0,O
3,"Feb 3, 2020",BAYLR,73,KANST,67,W,7.0,L,124.5,O
4,"Feb 1, 2020",TCU,52,BAYLR,68,W,-11.5,W,125.0,U
5,"Jan 29, 2020",BAYLR,67,IOWAS,53,W,4.5,W,137.0,U
6,"Jan 25, 2020",BAYLR,72,FLA,61,W,-2.0,W,132.0,O
7,"Jan 20, 2020",OKLA,57,BAYLR,61,W,-10.5,L,134.5,U
8,"Jan 18, 2020",BAYLR,75,OKST,68,W,5.5,W,126.5,O
9,"Jan 15, 2020",IOWAS,55,BAYLR,68,W,-9.0,W,138.0,U
10,"Jan 11, 2020",BAYLR,67,KANSA,55,W,-8.0,W,132.5,U
11,"Jan 7, 2020",BAYLR,57,TEXTK,52,W,-3.5,W,130.0,U
12,"Jan 4, 2020",TEXAS,44,BAYLR,59,W,-8.5,W,129.5,U
13,"Dec 30, 2019",JACKS,57,BAYLR,83,W,-32.5,L,136.5,O
14,"Dec 18, 2019",BAYLR,91,TNMAR,63,W,23.0,W,146.5,O
15,"Dec 10, 2019",BUTLR,52,BAYLR,53,W,-6.0,L,132.0,U
16,"Dec 7, 2019",ARIZ,58,BAYLR,63,W,-4.0,W,144.0,U
17,"Dec 3, 2019",MD-ES,46,BAYLR,78,W,-35.5,L,130.5,U
18,"Nov 24, 2019",VILLA,78,BAYLR,87,W,1.5,W,139.0,O
19,"Nov 22, 2019",BAYLR,77,COCAR,65,W,10.0,W,141.0,O
20,"Nov 21, 2019",OHIO,53,BAYLR,76,W,-14.0,W,133.0,U
21,"Nov 15, 2019",TEXST,63,BAYLR,72,W,-15.0,L,134.5,O
22,"Nov 8, 2019",BAYLR,64,WASH,67,L,5.0,L,135.5,U
23,"Nov 5, 2019",C.ARK,61,BAYLR,105,W,-27.0,W,148.0,O
24,"Mar 23, 2019",BAYLR,71,GONZG,83,L,-14.5,W,147.5,O
25,"Mar 21, 2019",BAYLR,78,SYRA,69,W,-2.5,W,129.5,O
26,"Mar 14, 2019",IOWAS,83,BAYLR,66,L,3.0,L,143.0,O
27,"Mar 9, 2019",BAYLR,70,KANSA,78,L,-8.0,P,141.0,O
28,"Mar 6, 2019",OKST,67,BAYLR,64,L,-9.0,L,136.5,U
29,"Mar 2, 2019",BAYLR,60,KANST,66,L,-6.5,W,127.0,U
