,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",JAXST,84,BELMT,101,W,-14.5,W,146.0,O
1,"Feb 13, 2020",TN.ST,51,BELMT,74,W,-12.5,W,153.0,U
2,"Feb 8, 2020",APEAY,63,BELMT,71,W,-6.5,W,153.0,U
3,"Feb 6, 2020",MURRAY,64,BELMT,71,W,-6.0,W,150.5,U
4,"Feb 1, 2020",BELMT,78,JAXST,64,W,8.5,W,150.0,U
5,"Jan 30, 2020",BELMT,92,TNTEC,84,W,15.0,L,147.5,O
6,"Jan 25, 2020",BELMT,78,APEAY,86,L,1.5,L,153.5,O
7,"Jan 23, 2020",BELMT,75,MURRAY,85,L,-1.0,L,150.0,O
8,"Jan 18, 2020",MORHD,59,BELMT,77,W,-16.5,W,145.5,U
9,"Jan 16, 2020",EKENT,56,BELMT,87,W,-19.5,W,157.0,U
10,"Jan 11, 2020",BELMT,85,TNMAR,78,W,10.5,L,158.5,O
11,"Jan 9, 2020",BELMT,89,SEMIZ,64,W,12.0,W,146.5,O
12,"Jan 4, 2020",E.ILL,55,BELMT,87,W,-11.5,W,149.0,U
13,"Jan 2, 2020",SIUED,79,BELMT,69,L,-23.0,L,146.0,O
14,"Dec 28, 2019",BELMT,79,W.KEN,62,W,-2.0,W,152.5,U
15,"Dec 21, 2019",BELMT,72,ALA,92,L,-1.0,L,160.5,O
16,"Dec 18, 2019",KENNE,44,BELMT,83,W,-24.5,W,144.0,U
17,"Dec 11, 2019",CARNEW,56,BELMT,105,W,0.0,,0.0,
18,"Dec 3, 2019",LIPSC,75,BELMT,80,W,-17.5,L,149.5,O
19,"Nov 30, 2019",BELMT,71,MIDTN,59,W,8.5,W,155.5,U
20,"Nov 26, 2019",BELMT,82,EWASH,87,L,6.5,L,154.5,O
21,"Nov 23, 2019",BELMT,55,STL,60,L,2.0,L,148.0,U
22,"Nov 20, 2019",BELMT,73,LIPSC,67,W,10.5,L,152.5,U
23,"Nov 18, 2019",HIGHP,51,BELMT,90,W,-26.0,W,144.0,U
24,"Nov 16, 2019",BELMT,100,BC,85,W,1.5,W,145.5,O
25,"Nov 11, 2019",SAMFD,63,BELMT,95,W,-9.5,W,157.0,O
26,"Nov 6, 2019",BELMT,72,ILLST,79,L,5.5,L,151.0,P
27,"Mar 21, 2019",BELMT,77,MARYL,79,L,-3.5,W,151.0,O
28,"Mar 19, 2019",TEMPL,70,BELMT,81,W,-2.5,W,155.0,U
29,"Mar 9, 2019",MURRAY,77,BELMT,65,L,-2.0,L,156.0,U
