,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",BCOOK,71,DELST,70,W,7.5,L,160.5,U
1,"Feb 15, 2020",BCOOK,58,MD-ES,66,L,7.5,L,139.5,U
2,"Feb 10, 2020",HOWRD,68,BCOOK,87,W,-12.0,W,156.5,U
3,"Feb 8, 2020",NCA&T,73,BCOOK,78,W,-2.5,W,158.5,U
4,"Feb 1, 2020",BCOOK,67,FLA&M,73,L,-1.5,L,151.5,U
5,"Jan 27, 2020",BCOOK,78,SC.ST,74,W,1.0,W,154.0,U
6,"Jan 25, 2020",BCOOK,95,NCA&T,98,L,-2.5,L,150.5,O
7,"Jan 18, 2020",NCCEN,86,BCOOK,59,L,-6.5,L,138.5,O
8,"Jan 13, 2020",MORGN,78,BCOOK,85,W,-5.0,W,150.0,O
9,"Jan 11, 2020",COPIN,80,BCOOK,85,W,-7.0,L,154.0,O
10,"Jan 6, 2020",BCOOK,102,HOWRD,73,W,8.5,W,149.5,O
11,"Jan 4, 2020",BCOOK,72,NORFK,85,L,-1.5,L,136.0,O
12,"Dec 29, 2019",BCOOK,67,STL,77,L,-14.5,W,137.0,O
13,"Dec 21, 2019",MARST,56,BCOOK,85,W,-7.0,W,127.0,O
14,"Dec 18, 2019",BCOOK,65,UCF,70,L,-15.0,W,140.5,U
15,"Dec 14, 2019",BCOOK,68,CALBAP,87,L,-9.0,L,148.0,O
16,"Dec 7, 2019",BCOOK,60,JAXVL,82,L,-5.0,L,131.5,O
17,"Dec 3, 2019",BCOOK,67,STETS,72,L,1.0,L,133.5,O
18,"Dec 1, 2019",BCOOK,65,GATEC,68,L,-19.0,W,138.5,U
19,"Nov 24, 2019",STFRIL,70,BCOOK,74,W,0.0,,0.0,
20,"Nov 23, 2019",E.ILL,63,BCOOK,66,W,6.5,W,142.0,U
21,"Nov 22, 2019",BCOOK,83,INCAR,58,W,4.0,W,143.5,U
22,"Nov 15, 2019",TRINBP,42,BCOOK,100,W,0.0,,0.0,
23,"Nov 11, 2019",BCOOK,61,NEBOM,90,L,-10.0,L,151.0,P
24,"Nov 9, 2019",BCOOK,44,TEXTK,79,L,-28.0,L,144.5,U
25,"Nov 6, 2019",JOHNFL,68,BCOOK,110,W,0.0,,0.0,
26,"Mar 14, 2019",BCOOK,71,HOWRD,80,L,1.5,L,156.5,U
27,"Mar 7, 2019",FLA&M,64,BCOOK,56,L,-6.5,L,132.5,U
28,"Mar 2, 2019",SC.ST,95,BCOOK,98,W,-9.0,L,144.5,O
29,"Feb 23, 2019",BCOOK,67,FLA&M,54,W,-3.0,W,134.5,U
