,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",BINGH,48,VERMT,76,L,-22.0,L,139.5,U
1,"Feb 12, 2020",STONY,75,BINGH,70,L,8.5,W,147.5,U
2,"Feb 8, 2020",MAINE,82,BINGH,75,L,-2.5,L,136.0,O
3,"Feb 5, 2020",BINGH,49,ALBNY,62,L,-11.5,L,145.0,U
4,"Jan 29, 2020",BINGH,57,HARTF,73,L,-7.5,L,141.5,U
5,"Jan 25, 2020",NH,77,BINGH,69,L,1.0,L,141.0,O
6,"Jan 22, 2020",BINGH,83,STONY,79,W,-17.0,W,142.0,O
7,"Jan 19, 2020",BINGH,63,MAINE,86,L,-1.5,L,135.5,O
8,"Jan 15, 2020",VERMT,72,BINGH,53,L,16.5,L,138.0,U
9,"Jan 11, 2020",BINGH,66,LOWELL,85,L,-7.5,L,151.0,P
10,"Jan 8, 2020",UMBC,75,BINGH,79,W,2.0,W,143.0,O
11,"Jan 4, 2020",ALBNY,74,BINGH,62,L,4.5,L,139.0,U
12,"Dec 29, 2019",HARTWK,45,BINGH,98,W,0.0,,0.0,
13,"Dec 20, 2019",BINGH,53,PITT,79,L,-18.5,L,132.5,U
14,"Dec 18, 2019",BINGH,55,YOUNG,73,L,-9.5,L,139.0,U
15,"Dec 7, 2019",BOSTU,79,BINGH,84,W,4.5,W,140.5,O
16,"Dec 4, 2019",COLGT,82,BINGH,74,L,13.0,W,145.5,O
17,"Dec 1, 2019",BINGH,65,LOYMD,77,L,-10.5,L,146.5,U
18,"Nov 26, 2019",ONEOST,69,BINGH,90,W,0.0,,0.0,
19,"Nov 23, 2019",ARMY,73,BINGH,88,W,3.0,W,144.5,O
20,"Nov 20, 2019",BINGH,77,NJIT,75,W,-13.5,W,136.5,O
21,"Nov 16, 2019",SACRD,72,BINGH,76,W,5.5,W,145.5,O
22,"Nov 13, 2019",BINGH,63,COLUM,75,L,-15.0,W,138.5,U
23,"Nov 10, 2019",BINGH,47,MICHS,100,L,-37.5,L,139.5,O
24,"Nov 5, 2019",BINGH,64,CORNL,84,L,-8.0,L,141.5,O
25,"Mar 12, 2019",BINGH,51,VERMT,84,L,-16.5,L,128.5,O
26,"Mar 9, 2019",BINGH,78,STONY,72,W,-11.5,W,132.0,O
27,"Mar 5, 2019",ALBNY,73,BINGH,58,L,2.0,L,134.0,U
28,"Mar 2, 2019",BINGH,83,MAINE,60,W,-3.0,W,131.5,O
29,"Feb 27, 2019",HARTF,96,BINGH,76,L,5.5,L,139.0,O
