,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",SD.ST,72,BOISE,55,L,5.5,L,138.0,U
1,"Feb 11, 2020",AIRFO,57,BOISE,74,W,-11.0,W,151.0,U
2,"Feb 8, 2020",BOISE,61,UT.ST,70,L,-10.0,W,143.0,U
3,"Feb 4, 2020",BOISE,67,WYOM,62,W,9.5,L,134.0,U
4,"Feb 1, 2020",NEV,64,BOISE,73,W,-5.0,W,154.5,U
5,"Jan 29, 2020",SJ.ST,71,BOISE,99,W,-16.5,W,153.0,O
6,"Jan 25, 2020",BOISE,87,FRSNO,53,W,-1.0,W,137.0,O
7,"Jan 18, 2020",UT.ST,83,BOISE,88,W,2.0,W,143.0,O
8,"Jan 15, 2020",BOISE,78,AIRFO,85,L,1.0,L,148.5,O
9,"Jan 11, 2020",BOISE,65,SD.ST,83,L,-11.0,L,134.0,O
10,"Jan 8, 2020",UNLV,66,BOISE,73,W,-5.5,W,137.0,O
11,"Jan 4, 2020",BOISE,66,NEV,83,L,-3.5,L,152.0,U
12,"Jan 1, 2020",WYOM,54,BOISE,65,W,-17.5,L,133.5,U
13,"Dec 28, 2019",CSNOR,72,BOISE,103,W,-9.5,W,149.5,O
14,"Dec 25, 2019",BOISE,72,UTEP,67,W,3.0,W,134.5,O
15,"Dec 23, 2019",PORTL,69,BOISE,85,W,-11.0,W,136.5,O
16,"Dec 22, 2019",GATEC,74,BOISE,60,L,-1.5,L,136.5,U
17,"Dec 14, 2019",ALAST,57,BOISE,100,W,-20.5,W,136.0,O
18,"Dec 11, 2019",BOISE,56,TULSA,69,L,-2.0,L,134.0,U
19,"Dec 7, 2019",COLST,64,BOISE,75,W,-6.0,W,141.0,U
20,"Dec 4, 2019",BOISE,78,NEWMX,80,L,-4.5,W,151.0,O
21,"Nov 29, 2019",NCWIL,59,BOISE,80,W,-14.5,W,138.0,O
22,"Nov 23, 2019",BOISE,82,PACIF,76,W,3.0,W,131.5,O
23,"Nov 20, 2019",BYU,68,BOISE,72,W,1.0,W,146.5,U
24,"Nov 15, 2019",UCI,69,BOISE,60,L,-4.5,L,141.0,U
25,"Nov 9, 2019",BOISE,75,OREG,106,L,-10.5,L,136.5,O
26,"Nov 5, 2019",LIFEPC,49,BOISE,126,W,0.0,,0.0,
27,"Mar 14, 2019",BOISE,69,NEV,77,L,-11.5,W,143.5,O
28,"Mar 13, 2019",COLST,57,BOISE,66,W,-3.5,W,141.0,U
29,"Mar 9, 2019",AIRFO,52,BOISE,80,W,-9.0,W,137.5,U
