,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",NCST,68,BC,71,W,4.0,W,141.0,U
1,"Feb 12, 2020",BC,58,MIAMI,85,L,-4.0,L,141.5,O
2,"Feb 8, 2020",BC,77,VATEC,73,W,-7.0,W,131.5,O
3,"Feb 4, 2020",DUKE,63,BC,55,L,14.5,W,147.0,U
4,"Feb 1, 2020",BC,71,UNC,70,W,-12.0,W,141.0,P
5,"Jan 29, 2020",LOUIS,86,BC,69,L,11.5,L,132.5,O
6,"Jan 25, 2020",VATEC,56,BC,61,W,4.5,W,132.5,U
7,"Jan 22, 2020",BC,72,PITT,74,L,-11.0,W,127.0,O
8,"Jan 19, 2020",BC,62,WAKE,80,L,-6.0,L,140.0,O
9,"Jan 15, 2020",BC,50,SYRA,76,L,-11.0,L,136.5,U
10,"Jan 11, 2020",GATEC,71,BC,52,L,4.0,L,132.0,U
11,"Jan 7, 2020",VIRGA,53,BC,60,W,10.0,W,111.0,O
12,"Dec 31, 2019",BC,49,DUKE,88,L,-21.5,L,140.5,U
13,"Dec 21, 2019",BC,64,CAL,60,W,2.0,W,132.5,U
14,"Dec 15, 2019",CCONN,55,BC,74,W,-23.5,L,137.5,U
15,"Dec 10, 2019",ALBNY,51,BC,72,W,-7.0,W,134.0,U
16,"Dec 7, 2019",BC,73,ND,72,W,-12.5,W,133.5,O
17,"Dec 3, 2019",NWEST,82,BC,64,L,-3.5,L,132.0,O
18,"Nov 30, 2019",BC,44,RICHM,64,L,-5.0,L,139.5,U
19,"Nov 27, 2019",STL,64,BC,54,L,-1.5,L,135.5,U
20,"Nov 23, 2019",DPAUL,72,BC,67,L,1.0,L,141.5,U
21,"Nov 20, 2019",EWASH,68,BC,72,W,-9.5,L,143.0,U
22,"Nov 16, 2019",BELMT,100,BC,85,L,1.5,L,145.5,O
23,"Nov 13, 2019",HIGHP,33,BC,59,W,-19.0,W,135.0,U
24,"Nov 10, 2019",BC,74,S.FLA,60,W,-6.5,W,133.5,O
25,"Nov 6, 2019",WAKE,70,BC,77,W,-2.5,W,143.0,O
26,"Mar 12, 2019",PITT,80,BC,70,L,0.0,L,134.5,O
27,"Mar 9, 2019",NCST,73,BC,47,L,3.5,L,151.5,U
28,"Mar 5, 2019",UNC,79,BC,66,L,11.5,L,158.0,U
29,"Mar 3, 2019",BC,78,GATEC,81,L,-2.5,L,134.5,O
