,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",BOWLG,77,BALL,71,W,-5.0,W,138.0,O
1,"Feb 11, 2020",BOWLG,59,AKRON,74,L,-7.0,L,149.5,U
2,"Feb 8, 2020",TOLDO,83,BOWLG,85,W,-2.0,P,148.0,O
3,"Feb 4, 2020",BOWLG,82,CMICH,92,L,-2.0,L,158.0,O
4,"Jan 31, 2020",BOWLG,78,BUFF,77,W,-4.5,W,161.0,U
5,"Jan 28, 2020",BALL,61,BOWLG,67,W,-2.0,W,139.5,U
6,"Jan 25, 2020",BOWLG,85,TOLDO,79,W,-5.0,W,148.0,O
7,"Jan 21, 2020",EMICH,59,BOWLG,62,W,-8.5,L,136.5,U
8,"Jan 18, 2020",N.ILL,64,BOWLG,66,W,-7.0,L,138.0,U
9,"Jan 14, 2020",BOWLG,85,WMICH,82,W,4.0,L,146.0,O
10,"Jan 11, 2020",BOWLG,83,OHIO,74,W,0.0,,142.5,O
11,"Jan 7, 2020",MIAOH,76,BOWLG,78,W,-8.0,L,146.5,O
12,"Jan 3, 2020",KENT,79,BOWLG,61,L,-2.0,L,147.5,U
13,"Dec 31, 2019",HARTF,68,BOWLG,81,W,-13.0,P,140.5,O
14,"Dec 21, 2019",QUINN,69,BOWLG,64,L,-5.0,L,142.0,U
15,"Dec 20, 2019",BOWLG,67,NORFK,72,L,10.5,L,136.5,O
16,"Dec 15, 2019",CLEST,58,BOWLG,72,W,-16.5,L,142.5,U
17,"Dec 7, 2019",OAKLN,65,BOWLG,68,W,-6.0,L,134.0,U
18,"Nov 30, 2019",DART,69,BOWLG,76,W,-8.0,L,131.5,O
19,"Nov 25, 2019",NEV,77,BOWLG,62,L,3.0,L,149.5,U
20,"Nov 24, 2019",CINCY,84,BOWLG,91,W,7.0,W,144.5,O
21,"Nov 22, 2019",BOWLG,77,W.KEN,75,W,-4.5,W,148.5,O
22,"Nov 15, 2019",FAIRMT,66,BOWLG,88,W,0.0,,0.0,
23,"Nov 11, 2019",BOWLG,75,JAXVL,59,W,10.5,W,150.5,U
24,"Nov 8, 2019",BOWLG,79,LSU,88,L,-13.5,W,158.0,O
25,"Nov 5, 2019",TIFFN,73,BOWLG,94,W,0.0,,0.0,
26,"Mar 16, 2019",BOWLG,73,BUFF,87,L,-11.0,L,156.0,O
27,"Mar 15, 2019",N.ILL,67,BOWLG,71,W,-3.0,W,147.0,U
28,"Mar 14, 2019",BALL,86,BOWLG,99,W,1.5,W,143.5,O
29,"Mar 8, 2019",BOWLG,73,BUFF,84,L,-13.5,W,162.5,U
