,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",BRAD,69,S.ILL,67,W,1.0,W,126.0,O
1,"Feb 12, 2020",INDST,61,BRAD,72,W,-6.5,W,135.0,U
2,"Feb 9, 2020",EVANS,58,BRAD,69,W,-13.0,L,133.0,U
3,"Feb 5, 2020",BRAD,60,DRAKE,73,L,-3.5,L,135.5,U
4,"Feb 1, 2020",BRAD,51,LOYCH,62,L,-5.5,L,128.0,U
5,"Jan 29, 2020",VALPO,69,BRAD,80,W,-5.5,W,140.5,O
6,"Jan 25, 2020",BRAD,53,INDST,61,L,-3.0,L,137.5,U
7,"Jan 22, 2020",ILLST,63,BRAD,75,W,-8.0,W,137.0,O
8,"Jan 18, 2020",NIOWA,86,BRAD,71,L,0.0,L,135.5,O
9,"Jan 15, 2020",BRAD,91,MIZST,78,W,-2.5,W,130.0,O
10,"Jan 11, 2020",S.ILL,48,BRAD,67,W,-7.5,W,124.5,U
11,"Jan 8, 2020",BRAD,72,EVANS,52,W,2.5,W,136.5,U
12,"Jan 4, 2020",BRAD,64,NIOWA,69,L,-7.0,W,133.0,P
13,"Dec 31, 2019",DRAKE,72,BRAD,80,W,-2.5,W,133.0,O
14,"Dec 28, 2019",TOLDO,66,BRAD,78,W,1.0,W,134.5,O
15,"Dec 21, 2019",BRAD,55,MIAOH,71,L,2.0,L,139.5,U
16,"Dec 15, 2019",GASOU,51,BRAD,81,W,-5.0,W,147.5,U
17,"Dec 7, 2019",NCA&T,52,BRAD,83,W,-15.0,W,127.5,O
18,"Dec 3, 2019",BRAD,56,MEMPH,71,L,-12.5,L,147.0,U
19,"Nov 27, 2019",KANST,60,BRAD,73,W,5.5,W,118.0,O
20,"Nov 25, 2019",BRAD,51,NWEST,78,L,3.0,L,128.5,O
21,"Nov 22, 2019",RADFD,61,BRAD,70,W,-4.0,W,133.0,U
22,"Nov 19, 2019",NORFK,57,BRAD,69,W,-13.0,L,132.5,U
23,"Nov 16, 2019",ILCHI,56,BRAD,65,W,-12.5,L,135.5,U
24,"Nov 9, 2019",IUPUI,56,BRAD,90,W,-12.0,W,137.5,O
25,"Nov 5, 2019",BRAD,81,STJOE,86,L,5.0,L,148.0,O
26,"Mar 21, 2019",BRAD,65,MICHS,76,L,-17.5,W,134.5,O
27,"Mar 10, 2019",NIOWA,54,BRAD,57,W,-2.0,W,119.0,U
28,"Mar 9, 2019",BRAD,53,LOYCH,51,W,-6.0,W,118.5,U
29,"Mar 8, 2019",BRAD,61,MIZST,58,W,-3.0,W,125.0,U
