,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",BROWN,54,PRNCE,73,L,-4.5,L,140.0,U
1,"Feb 14, 2020",BROWN,75,PENN,63,W,-7.0,W,144.0,U
2,"Feb 8, 2020",HARVD,71,BROWN,72,W,4.5,W,142.0,O
3,"Feb 7, 2020",DART,65,BROWN,67,W,-3.5,L,129.5,O
4,"Feb 1, 2020",COLUM,66,BROWN,72,W,-6.5,L,138.5,U
5,"Jan 31, 2020",CORNL,63,BROWN,74,W,-7.0,W,135.0,O
6,"Jan 24, 2020",YALE,73,BROWN,62,L,6.0,L,134.5,O
7,"Jan 17, 2020",BROWN,56,YALE,70,L,-11.5,L,134.0,U
8,"Jan 7, 2020",J&W-RI,53,BROWN,79,W,0.0,,0.0,
9,"Jan 2, 2020",RHODEI,75,BROWN,85,W,7.5,W,143.5,O
10,"Dec 28, 2019",BROWN,50,DUKE,75,L,-28.0,W,145.0,U
11,"Dec 10, 2019",BROWN,71,STJON,82,L,-11.0,P,149.0,O
12,"Dec 7, 2019",BROWN,63,STONY,79,L,-5.0,L,135.5,O
13,"Dec 4, 2019",MERRIM,55,BROWN,82,W,-6.0,W,128.0,O
14,"Nov 30, 2019",NAVY,76,BROWN,56,L,-7.0,L,126.0,O
15,"Nov 26, 2019",BROWN,63,LOWELL,75,L,2.0,L,148.0,U
16,"Nov 23, 2019",NJIT,63,BROWN,79,W,-3.5,W,138.5,O
17,"Nov 19, 2019",BROWN,63,SACRD,84,L,3.0,L,150.0,U
18,"Nov 13, 2019",QUINN,68,BROWN,70,W,-5.5,L,144.5,U
19,"Nov 9, 2019",CANIS,68,BROWN,75,W,-7.5,L,143.0,P
20,"Nov 5, 2019",BROWN,73,BRYANT,71,W,6.5,L,148.0,U
21,"Mar 25, 2019",BROWN,63,LOYMA,81,L,-7.0,L,138.0,O
22,"Mar 20, 2019",UAB,78,BROWN,83,W,-1.0,W,144.5,O
23,"Mar 9, 2019",BROWN,51,PENN,58,L,-6.0,L,138.5,U
24,"Mar 8, 2019",BROWN,67,PRNCE,63,W,-3.0,W,138.5,U
25,"Mar 2, 2019",CORNL,51,BROWN,75,W,-6.5,W,139.5,U
26,"Mar 1, 2019",COLUM,80,BROWN,77,L,-4.5,L,142.0,O
27,"Feb 23, 2019",DART,65,BROWN,68,W,-6.0,L,142.5,U
28,"Feb 22, 2019",HARVD,79,BROWN,88,W,3.0,W,133.5,O
29,"Feb 16, 2019",BROWN,65,COLUM,63,W,-1.0,W,138.5,U
