,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",MERRIM,52,BRYANT,61,W,0.0,W,128.0,U
1,"Feb 15, 2020",BRYANT,70,CCONN,75,L,9.0,L,141.0,O
2,"Feb 13, 2020",BRYANT,65,SACRD,74,L,-3.5,L,141.5,U
3,"Feb 8, 2020",CCONN,60,BRYANT,64,W,-15.5,L,142.0,U
4,"Feb 6, 2020",STFNY,60,BRYANT,73,W,-6.5,W,144.0,U
5,"Feb 1, 2020",BRYANT,64,STFPA,84,L,-4.0,L,150.0,U
6,"Jan 30, 2020",BRYANT,54,ROBMO,64,L,-3.0,L,139.5,U
7,"Jan 25, 2020",BRYANT,76,MTSTM,79,L,-1.0,L,130.5,O
8,"Jan 23, 2020",WAGNR,58,BRYANT,79,W,-8.0,W,142.5,U
9,"Jan 18, 2020",LIU,74,BRYANT,60,L,-4.0,L,151.0,U
10,"Jan 15, 2020",BRYANT,67,MERRIM,71,L,2.0,L,130.0,O
11,"Jan 11, 2020",MTSTM,67,BRYANT,65,L,-6.5,L,131.5,O
12,"Jan 4, 2020",FDU,77,BRYANT,73,L,-7.5,L,143.5,O
13,"Jan 2, 2020",STFPA,63,BRYANT,67,W,-2.5,W,147.5,U
14,"Dec 29, 2019",BRYANT,70,MARYL,84,L,-22.0,W,140.0,O
15,"Dec 21, 2019",BRYANT,64,DART,60,W,-4.0,W,134.5,U
16,"Dec 10, 2019",BRYANT,69,FORDM,61,W,-5.0,W,130.0,P
17,"Dec 6, 2019",COLUM,65,BRYANT,67,W,-2.5,L,145.0,U
18,"Dec 2, 2019",NAVY,45,BRYANT,60,W,-1.0,W,136.5,U
19,"Nov 26, 2019",BRYANT,76,NH,87,L,1.5,L,147.5,O
20,"Nov 20, 2019",BRYANT,74,DREXL,86,L,-4.5,L,149.0,O
21,"Nov 18, 2019",BRYANT,73,NIAGR,62,W,3.5,W,147.0,U
22,"Nov 15, 2019",LYNNST,67,BRYANT,116,W,0.0,,0.0,
23,"Nov 13, 2019",BRYANT,69,STPET,44,W,-2.5,W,138.0,U
24,"Nov 10, 2019",CORNL,81,BRYANT,82,W,-2.5,L,146.0,O
25,"Nov 7, 2019",BRYANT,71,RUTGR,73,L,-21.5,W,140.5,O
26,"Nov 5, 2019",BROWN,73,BRYANT,71,L,6.5,W,148.0,U
27,"Mar 6, 2019",BRYANT,63,STFPA,67,L,-9.0,W,150.0,U
28,"Mar 2, 2019",BRYANT,65,LIU,81,L,-7.5,L,150.5,U
29,"Feb 28, 2019",BRYANT,66,STFNY,74,L,-8.0,P,144.5,U
