,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",BUCKN,69,HOLYC,48,W,6.0,W,146.0,U
1,"Feb 15, 2020",AMERN,68,BUCKN,72,W,-2.0,W,141.5,U
2,"Feb 12, 2020",BUCKN,59,NAVY,60,L,-3.5,W,130.0,U
3,"Feb 8, 2020",BUCKN,65,LOYMD,78,L,-2.0,L,148.0,U
4,"Feb 3, 2020",LAFAY,65,BUCKN,62,L,-1.5,L,143.5,U
5,"Feb 1, 2020",BOSTU,77,BUCKN,57,L,-2.5,L,142.5,U
6,"Jan 29, 2020",BUCKN,59,ARMY,68,L,-2.0,L,145.5,U
7,"Jan 25, 2020",LOYMD,83,BUCKN,98,W,-6.5,W,146.0,O
8,"Jan 20, 2020",BUCKN,65,COLGT,80,L,-8.5,L,145.0,P
9,"Jan 18, 2020",LEHIH,56,BUCKN,72,W,-6.0,W,144.5,U
10,"Jan 15, 2020",BUCKN,60,AMERN,61,L,-3.5,W,144.0,U
11,"Jan 11, 2020",HOLYC,60,BUCKN,75,W,-11.0,W,147.0,U
12,"Jan 8, 2020",NAVY,60,BUCKN,56,L,-5.5,L,128.0,U
13,"Jan 5, 2020",BUCKN,78,LAFAY,66,W,-3.0,W,145.0,U
14,"Jan 2, 2020",ARMY,65,BUCKN,67,W,-7.0,L,150.5,U
15,"Dec 28, 2019",BUCKN,59,LASAL,71,L,-5.5,L,145.0,U
16,"Dec 21, 2019",BUCKN,71,SIENA,81,L,-5.5,L,148.5,O
17,"Dec 7, 2019",ALBNY,64,BUCKN,65,W,-3.5,L,143.5,U
18,"Dec 3, 2019",BUCKN,69,RIDER,89,L,-6.0,L,155.0,O
19,"Nov 30, 2019",PRNCE,87,BUCKN,77,L,-3.5,L,140.5,O
20,"Nov 26, 2019",YALE,81,BUCKN,61,L,4.0,L,135.5,O
21,"Nov 25, 2019",SEATT,70,BUCKN,77,W,-3.5,W,141.0,O
22,"Nov 23, 2019",BUCKN,46,SYRA,97,L,-13.0,L,135.5,O
23,"Nov 19, 2019",BUCKN,70,PENST,98,L,-15.0,L,147.0,O
24,"Nov 16, 2019",BUCKN,81,CANIS,83,L,6.0,L,145.0,O
25,"Nov 13, 2019",HOFST,71,BUCKN,86,W,-2.5,W,154.5,O
26,"Nov 10, 2019",VERMT,66,BUCKN,63,L,3.5,W,139.5,U
27,"Nov 5, 2019",BUCKN,68,FAIRF,64,W,4.5,L,143.5,U
28,"Mar 13, 2019",BUCKN,80,COLGT,94,L,-3.5,L,146.5,O
29,"Mar 10, 2019",LEHIH,75,BUCKN,97,W,-6.0,W,159.5,O
