,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",BUTLR,72,SETON,74,L,-5.5,W,134.0,O
1,"Feb 15, 2020",GTOWN,73,BUTLR,66,L,-11.5,L,136.0,O
2,"Feb 12, 2020",XAVIR,61,BUTLR,66,W,-5.5,L,129.5,U
3,"Feb 9, 2020",BUTLR,57,MARQ,76,L,-4.0,L,139.5,U
4,"Feb 5, 2020",VILLA,76,BUTLR,79,W,-3.0,P,130.5,O
5,"Feb 1, 2020",PROV,65,BUTLR,61,L,-6.5,L,129.5,U
6,"Jan 28, 2020",BUTLR,69,GTOWN,64,W,-1.0,W,141.0,U
7,"Jan 24, 2020",MARQ,85,BUTLR,89,W,-6.0,L,135.5,O
8,"Jan 21, 2020",BUTLR,61,VILLA,76,L,-3.5,L,129.0,O
9,"Jan 18, 2020",BUTLR,66,DPAUL,79,L,4.0,L,130.0,O
10,"Jan 15, 2020",SETON,78,BUTLR,70,L,-4.5,L,129.0,O
11,"Jan 10, 2020",BUTLR,70,PROV,58,W,1.5,W,127.5,O
12,"Jan 4, 2020",CREIG,57,BUTLR,71,W,-4.5,W,135.0,U
13,"Dec 31, 2019",BUTLR,60,STJON,58,W,4.0,L,135.5,U
14,"Dec 28, 2019",ULMON,36,BUTLR,67,W,-22.0,W,122.0,U
15,"Dec 21, 2019",BUTLR,70,PURDU,61,W,2.0,W,120.0,O
16,"Dec 14, 2019",SUTHR,41,BUTLR,66,W,-25.5,L,130.5,U
17,"Dec 10, 2019",BUTLR,52,BAYLR,53,L,-6.0,W,132.0,U
18,"Dec 7, 2019",FLA,62,BUTLR,76,W,-3.5,W,123.0,O
19,"Dec 3, 2019",BUTLR,67,MISS,58,W,-1.0,W,130.0,U
20,"Nov 26, 2019",BUTLR,68,STANF,67,W,3.5,L,124.0,O
21,"Nov 25, 2019",BUTLR,63,MIZZU,52,W,-1.0,W,124.5,U
22,"Nov 22, 2019",MORHD,50,BUTLR,68,W,-18.5,L,131.0,U
23,"Nov 16, 2019",WOFFD,61,BUTLR,80,W,-10.0,W,135.5,O
24,"Nov 12, 2019",MINN,56,BUTLR,64,W,-8.0,P,135.5,U
25,"Nov 9, 2019",NEWOR,53,BUTLR,79,W,-20.0,W,135.5,U
26,"Nov 6, 2019",IUPUI,47,BUTLR,80,W,-19.0,W,140.0,U
27,"Mar 20, 2019",BUTLR,76,NEBRS,80,L,-5.0,W,143.0,O
28,"Mar 13, 2019",BUTLR,57,PROV,80,L,-1.5,L,135.0,O
29,"Mar 9, 2019",BUTLR,70,PROV,83,L,-2.0,L,135.5,O
