,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",UCDAV,77,CALPO,62,L,3.0,L,142.5,U
1,"Feb 15, 2020",CALPO,101,FULLR,105,L,-6.5,W,138.5,O
2,"Feb 13, 2020",CALPO,73,CSNOR,81,L,-8.5,W,150.5,O
3,"Feb 8, 2020",HAWAI,75,CALPO,79,W,5.5,W,141.0,O
4,"Feb 5, 2020",LONGB,75,CALPO,92,W,1.0,W,142.5,O
5,"Feb 1, 2020",CALPO,51,UCDAV,66,L,-8.5,L,139.0,U
6,"Jan 30, 2020",FULLR,100,CALPO,101,W,3.0,W,136.5,O
7,"Jan 25, 2020",CALPO,67,UCI,74,L,-16.0,W,132.5,O
8,"Jan 23, 2020",CALPO,64,UCRIV,97,L,-8.0,L,124.5,O
9,"Jan 17, 2020",CALPO,61,HAWAI,65,L,-14.0,W,134.0,U
10,"Jan 11, 2020",CSNOR,56,CALPO,74,W,6.0,W,145.5,U
11,"Jan 8, 2020",SABAR,63,CALPO,45,L,9.0,L,132.0,U
12,"Jan 3, 2020",VANGR,82,CALPO,85,W,0.0,,0.0,
13,"Dec 28, 2019",CALPO,57,SD.ST,73,L,-26.0,W,126.0,O
14,"Dec 21, 2019",CSBAK,72,CALPO,50,L,3.0,L,133.5,U
15,"Dec 18, 2019",CALPO,56,SACRA,57,L,-11.0,W,125.0,U
16,"Dec 14, 2019",FRSNO,62,CALPO,37,L,8.5,L,132.5,U
17,"Dec 7, 2019",SIENA,66,CALPO,70,W,6.0,W,141.0,U
18,"Nov 29, 2019",CALPO,69,LIU,82,L,-5.5,L,151.0,P
19,"Nov 28, 2019",TN.ST,82,CALPO,72,L,7.0,L,139.5,O
20,"Nov 24, 2019",CALPO,59,IOWA,85,L,-23.5,L,145.5,U
21,"Nov 22, 2019",CALPO,70,CREIG,86,L,-25.0,W,140.5,O
22,"Nov 17, 2019",CALPO,48,STMAR,79,L,-25.0,L,131.5,U
23,"Nov 15, 2019",SIMPSO,45,CALPO,89,W,0.0,,0.0,
24,"Nov 11, 2019",CALPO,67,ND.ST,74,L,-16.5,W,141.5,U
25,"Nov 8, 2019",CALPO,63,SACLA,77,L,-16.0,W,142.0,U
26,"Mar 9, 2019",SABAR,92,CALPO,82,L,8.0,L,140.5,O
27,"Mar 7, 2019",UCI,110,CALPO,72,L,12.5,L,129.5,O
28,"Mar 2, 2019",CALPO,85,LONGB,94,L,-9.0,P,142.0,O
29,"Feb 28, 2019",CALPO,75,FULLR,86,L,-11.5,W,135.0,O
