,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",SABAR,75,FULLR,66,L,4.0,L,134.5,O
1,"Feb 15, 2020",CALPO,101,FULLR,105,W,-6.5,L,138.5,O
2,"Feb 8, 2020",UCDAV,87,FULLR,81,L,-2.5,L,138.5,O
3,"Feb 5, 2020",UCRIV,48,FULLR,61,W,1.5,W,133.0,U
4,"Feb 1, 2020",FULLR,61,UCI,91,L,-11.5,L,136.5,O
5,"Jan 30, 2020",FULLR,100,CALPO,101,L,3.0,L,136.5,O
6,"Jan 25, 2020",CSNOR,75,FULLR,82,W,1.0,W,146.5,O
7,"Jan 22, 2020",FULLR,78,UCDAV,74,W,-4.5,W,132.0,O
8,"Jan 18, 2020",FULLR,66,LONGB,62,W,-1.5,W,140.0,U
9,"Jan 15, 2020",UCI,74,FULLR,61,L,7.0,L,132.0,O
10,"Jan 11, 2020",FULLR,59,UCRIV,65,L,-5.0,L,126.5,U
11,"Jan 9, 2020",HAWAI,75,FULLR,69,L,3.0,L,136.0,O
12,"Jan 3, 2020",STKATH,52,FULLR,103,W,0.0,,0.0,
13,"Dec 28, 2019",FULLR,77,UCLA,74,W,-15.5,W,131.0,O
14,"Dec 22, 2019",FULLR,46,LOYMA,53,L,-7.0,P,128.5,U
15,"Dec 14, 2019",SF,91,FULLR,69,L,9.5,L,138.0,O
16,"Dec 11, 2019",SD,66,FULLR,54,L,2.5,L,132.5,U
17,"Dec 7, 2019",SACRA,62,FULLR,59,L,1.5,L,121.5,U
18,"Dec 4, 2019",FULLR,59,PACIF,62,L,-9.5,W,121.0,P
19,"Nov 30, 2019",FULLR,55,SACLA,70,L,-10.0,L,137.5,U
20,"Nov 29, 2019",DENVR,65,FULLR,62,L,-3.5,L,134.5,U
21,"Nov 27, 2019",SEMIZ,57,FULLR,64,W,-5.0,W,134.0,U
22,"Nov 24, 2019",HOFST,79,FULLR,57,L,3.5,L,145.0,U
23,"Nov 16, 2019",CSSTA,62,FULLR,82,W,0.0,,0.0,
24,"Nov 13, 2019",FULLR,60,WYOM,53,W,-3.0,W,125.5,U
25,"Nov 9, 2019",FULLR,54,STANF,70,L,-13.5,L,140.5,U
26,"Nov 5, 2019",FULLR,58,BYU,76,L,-15.5,L,150.0,U
27,"Mar 21, 2019",CSBAK,66,FULLR,58,L,-5.5,L,144.0,U
28,"Mar 17, 2019",FULLR,64,UCI,92,L,-8.5,L,128.5,O
29,"Mar 16, 2019",FULLR,64,SABAR,58,W,-4.0,W,137.5,U
