,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",CAMBP,66,CHASO,51,W,-1.0,W,133.5,U
1,"Feb 15, 2020",RADFD,73,CAMBP,60,L,2.0,L,130.0,O
2,"Feb 13, 2020",HAMPT,49,CAMBP,75,W,-5.5,W,151.5,U
3,"Feb 10, 2020",CAMBP,0,LONGW,0,T,0.0,,0.0,
4,"Feb 8, 2020",PRESB,62,CAMBP,79,W,-5.0,W,133.0,O
5,"Feb 6, 2020",CAMBP,53,WINTH,62,L,-15.5,W,144.0,U
6,"Feb 1, 2020",CAMBP,74,USCUP,91,L,1.0,L,134.0,O
7,"Jan 30, 2020",HIGHP,62,CAMBP,57,L,-9.0,L,132.0,U
8,"Jan 23, 2020",CAMBP,74,HAMPT,83,L,-1.5,L,149.0,O
9,"Jan 20, 2020",CAMBP,79,PRESB,85,L,2.5,L,130.0,O
10,"Jan 18, 2020",LONGW,58,CAMBP,68,W,-8.0,W,131.5,U
11,"Jan 16, 2020",CHASO,77,CAMBP,62,L,-7.5,L,132.0,O
12,"Jan 11, 2020",CAMBP,63,RADFD,68,L,-8.5,W,130.0,O
13,"Jan 8, 2020",CAMBP,64,NCASH,62,W,-3.5,W,145.0,U
14,"Jan 4, 2020",WINTH,87,CAMBP,72,L,2.5,L,139.0,O
15,"Jan 2, 2020",G.WEB,67,CAMBP,65,L,-3.0,L,128.5,O
16,"Dec 29, 2019",CAMBP,63,OHIO,55,W,-7.5,W,135.0,U
17,"Dec 21, 2019",J&WCH,59,CAMBP,82,W,0.0,,0.0,
18,"Dec 17, 2019",ELON,46,CAMBP,60,W,-7.5,W,128.0,U
19,"Dec 14, 2019",CAMBP,67,E.CAR,79,L,-3.5,L,137.5,O
20,"Dec 1, 2019",NDAKOT,56,CAMBP,58,W,0.0,W,139.0,U
21,"Nov 30, 2019",CAMBP,51,FLAGC,46,W,1.5,W,132.5,U
22,"Nov 29, 2019",CAMBP,74,GASOU,84,L,-8.5,L,146.5,O
23,"Nov 25, 2019",JAXVL,57,CAMBP,62,W,-4.5,W,130.5,U
24,"Nov 16, 2019",CAMBP,87,CITDL,73,W,2.0,W,158.0,O
25,"Nov 12, 2019",CAMBP,76,NCWIL,81,L,-4.0,L,147.5,O
26,"Nov 8, 2019",CENPEN,47,CAMBP,101,W,0.0,,0.0,
27,"Nov 5, 2019",CAMBP,75,COCAR,74,W,-9.0,W,146.0,O
28,"Mar 19, 2019",CAMBP,69,NCGRE,84,L,-9.0,L,144.5,O
29,"Mar 8, 2019",G.WEB,79,CAMBP,74,L,-3.5,L,143.5,O
