,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",C.ARK,67,SAMHO,82,L,-8.5,L,152.0,U
1,"Feb 12, 2020",NEWOR,68,C.ARK,73,W,-5.0,P,154.0,U
2,"Feb 8, 2020",C.ARK,82,MCNEE,76,W,-4.5,W,156.5,O
3,"Feb 5, 2020",C.ARK,67,LAMAR,74,L,-3.5,L,150.0,U
4,"Feb 1, 2020",C.ARK,79,NWST,71,W,-1.5,W,157.5,U
5,"Jan 29, 2020",SELA,68,C.ARK,88,W,-5.5,W,153.0,O
6,"Jan 25, 2020",ABILE,70,C.ARK,69,L,1.5,W,151.5,U
7,"Jan 18, 2020",C.ARK,72,NICHL,79,L,-9.0,W,147.5,O
8,"Jan 15, 2020",SFA,77,C.ARK,76,L,9.0,W,156.0,U
9,"Jan 11, 2020",SAMHO,82,C.ARK,89,W,6.0,W,155.0,O
10,"Jan 8, 2020",C.ARK,78,NEWOR,86,L,-2.5,L,156.5,O
11,"Jan 4, 2020",MCNEE,69,C.ARK,79,W,1.0,W,161.0,U
12,"Jan 2, 2020",C.ARK,107,HOUBPT,111,L,-1.5,L,178.0,O
13,"Dec 28, 2019",C.ARK,54,MARQ,106,L,-25.0,L,157.5,O
14,"Dec 21, 2019",TEXCC,67,C.ARK,71,W,-3.0,W,138.5,U
15,"Dec 18, 2019",INCAR,82,C.ARK,88,W,-11.5,L,146.5,O
16,"Dec 14, 2019",C.ARK,79,PEPPR,92,L,-14.0,W,163.0,O
17,"Dec 7, 2019",C.ARK,67,UTAH,98,L,-19.0,L,157.0,O
18,"Dec 5, 2019",C.ARK,69,WICHI,95,L,-24.5,L,140.5,O
19,"Nov 23, 2019",PVA&M,78,C.ARK,72,L,2.0,L,151.5,U
20,"Nov 22, 2019",C.ARK,98,CALBAP,104,L,-12.0,W,152.5,O
21,"Nov 17, 2019",ARKLR,76,C.ARK,56,L,3.0,L,148.5,U
22,"Nov 12, 2019",C.ARK,54,DUKE,105,L,-34.0,L,153.5,O
23,"Nov 9, 2019",C.ARK,78,GTOWN,89,L,-21.5,W,157.0,O
24,"Nov 7, 2019",HNDRX,51,C.ARK,71,W,0.0,,0.0,
25,"Nov 5, 2019",C.ARK,61,BAYLR,105,L,-27.0,L,148.0,O
26,"Mar 14, 2019",C.ARK,65,SELA,79,L,-3.5,L,141.0,O
27,"Mar 13, 2019",C.ARK,73,TEXCC,53,W,-3.0,W,137.0,U
28,"Mar 9, 2019",C.ARK,70,NWST,63,W,2.0,W,147.0,U
29,"Mar 6, 2019",C.ARK,91,SAMHO,87,W,-11.5,W,147.5,O
