,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 13, 2020",WICHI,75,UCF,58,L,3.5,L,134.0,U
1,"Feb 9, 2020",TULSA,75,UCF,83,W,-3.0,W,127.5,O
2,"Feb 6, 2020",UCF,68,E.CAR,64,W,3.5,W,136.0,U
3,"Feb 1, 2020",UCF,48,S.FLA,64,L,-2.0,L,125.0,U
4,"Jan 29, 2020",MEMPH,59,UCF,57,L,1.5,L,139.0,U
5,"Jan 25, 2020",UCF,79,WICHI,87,L,-11.5,W,131.5,O
6,"Jan 18, 2020",S.FLA,54,UCF,55,W,-4.0,L,124.5,U
7,"Jan 14, 2020",UCF,74,TULAN,55,W,-2.0,W,135.5,U
8,"Jan 11, 2020",CINCY,68,UCF,54,L,2.5,L,134.0,U
9,"Jan 8, 2020",UCF,74,SMU,81,L,-7.5,W,137.0,O
10,"Jan 3, 2020",UCF,63,HOUST,78,L,-9.0,L,134.0,O
11,"Dec 31, 2019",TEMPL,62,UCF,58,L,1.0,L,137.0,U
12,"Dec 21, 2019",UCF,52,OKLA,53,L,-9.5,W,147.0,U
13,"Dec 18, 2019",BCOOK,65,UCF,70,W,-15.0,L,140.5,U
14,"Dec 15, 2019",SACRD,65,UCF,76,W,-10.0,W,153.0,U
15,"Dec 10, 2019",WISGB,66,UCF,79,W,-9.5,W,157.5,U
16,"Dec 7, 2019",NJIT,65,UCF,78,W,-14.0,L,136.5,O
17,"Dec 1, 2019",COLCH,56,UCF,77,W,1.0,W,132.5,O
18,"Nov 29, 2019",UCF,78,PEPPR,65,W,1.5,W,149.5,U
19,"Nov 28, 2019",UCF,67,PENN,68,L,-3.0,W,141.5,U
20,"Nov 23, 2019",COLCH,71,UCF,72,W,-4.0,L,136.0,O
21,"Nov 17, 2019",UCF,67,ILLST,65,W,-2.5,W,134.0,U
22,"Nov 12, 2019",MIAMI,79,UCF,70,L,3.0,L,138.0,O
23,"Nov 9, 2019",PVA&M,69,UCF,73,W,-16.5,L,141.0,O
24,"Mar 24, 2019",UCF,76,DUKE,77,L,-13.0,W,142.5,O
25,"Mar 22, 2019",UCF,73,VACOM,58,W,1.5,W,126.5,O
26,"Mar 15, 2019",MEMPH,79,UCF,55,L,-3.0,L,147.5,U
27,"Mar 9, 2019",UCF,62,TEMPL,67,L,-2.5,L,139.0,U
28,"Mar 7, 2019",CINCY,55,UCF,58,W,-2.5,W,126.5,U
29,"Mar 2, 2019",UCF,69,HOUST,64,W,-7.0,W,133.5,U
