,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",CMICH,69,OHIO,77,L,-4.0,L,151.0,U
1,"Feb 14, 2020",AKRON,80,CMICH,67,L,3.5,L,153.5,U
2,"Feb 11, 2020",EMICH,73,CMICH,70,L,-6.5,L,138.5,O
3,"Feb 7, 2020",CMICH,60,BUFF,65,L,-5.5,W,163.5,U
4,"Feb 4, 2020",BOWLG,82,CMICH,92,W,-2.0,W,158.0,O
5,"Feb 1, 2020",CMICH,85,WMICH,78,W,1.5,W,153.5,O
6,"Jan 25, 2020",BALL,66,CMICH,71,W,2.0,W,146.5,U
7,"Jan 18, 2020",BUFF,86,CMICH,67,L,-1.0,L,166.0,U
8,"Jan 14, 2020",CMICH,74,TOLDO,67,W,-9.0,W,151.0,U
9,"Jan 11, 2020",CMICH,73,KENT,79,L,-8.5,W,157.5,U
10,"Jan 7, 2020",N.ILL,67,CMICH,68,W,-5.0,L,150.0,U
11,"Jan 4, 2020",MIAOH,82,CMICH,93,W,-3.5,W,158.0,O
12,"Dec 28, 2019",CMICH,62,PURDU,97,L,-18.0,L,144.5,O
13,"Dec 17, 2019",CMICH,79,ROBMO,83,L,5.5,L,148.5,O
14,"Dec 14, 2019",CMICH,76,TEXAS,87,L,-14.0,W,146.0,O
15,"Dec 8, 2019",CMICH,55,VALPO,77,L,-2.5,L,159.5,U
16,"Dec 6, 2019",TNMAR,75,CMICH,84,W,-10.0,L,166.5,U
17,"Nov 30, 2019",YOUNG,72,CMICH,88,W,-6.5,W,152.5,O
18,"Nov 26, 2019",CMICH,75,DPAUL,88,L,-11.5,L,154.5,O
19,"Nov 23, 2019",TRINCH,60,CMICH,106,W,0.0,,0.0,
20,"Nov 21, 2019",CMICH,57,MINN,82,L,-10.0,L,154.0,U
21,"Nov 18, 2019",SHU,58,CMICH,115,W,0.0,,0.0,
22,"Nov 16, 2019",SAMHO,77,CMICH,84,W,-4.0,W,149.5,O
23,"Nov 10, 2019",MSVAL,78,CMICH,134,W,-28.5,W,163.5,O
24,"Nov 5, 2019",MCHDRB,62,CMICH,102,W,0.0,,0.0,
25,"Mar 20, 2019",CMICH,86,DPAUL,100,L,-7.0,L,165.5,O
26,"Mar 15, 2019",CMICH,81,BUFF,85,L,-13.0,W,162.0,O
27,"Mar 14, 2019",CMICH,89,KENT,81,W,-1.5,W,153.0,O
28,"Mar 11, 2019",WMICH,67,CMICH,81,W,-8.5,W,154.0,U
29,"Mar 8, 2019",CMICH,82,WMICH,75,W,3.0,W,152.5,O
