,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",CHASO,75,NCASH,79,L,-3.5,L,144.0,O
1,"Feb 13, 2020",HIGHP,63,CHASO,66,W,-8.5,L,137.0,U
2,"Feb 10, 2020",CHASO,52,USCUP,66,L,1.0,L,142.0,U
3,"Feb 8, 2020",HAMPT,72,CHASO,85,W,-3.5,W,154.0,O
4,"Feb 6, 2020",CHASO,63,LONGW,71,L,-1.0,L,137.0,U
5,"Feb 1, 2020",CHASO,74,RADFD,77,L,-9.5,W,134.0,O
6,"Jan 30, 2020",WINTH,77,CHASO,60,L,7.0,L,144.0,U
7,"Jan 25, 2020",CHASO,92,G.WEB,83,W,-7.0,W,135.0,O
8,"Jan 23, 2020",PRESB,66,CHASO,74,W,-4.5,W,138.0,O
9,"Jan 18, 2020",CHASO,79,HIGHP,60,W,0.0,,134.5,O
10,"Jan 16, 2020",CHASO,77,CAMBP,62,W,-7.5,W,132.0,O
11,"Jan 11, 2020",NCASH,71,CHASO,69,L,1.0,L,149.0,U
12,"Jan 8, 2020",LONGW,74,CHASO,56,L,-5.5,L,141.0,U
13,"Jan 4, 2020",CHASO,85,HAMPT,92,L,-1.0,L,141.0,O
14,"Jan 2, 2020",USCUP,75,CHASO,89,W,-6.5,W,135.5,O
15,"Dec 28, 2019",PIEDIN,52,CHASO,108,W,0.0,,0.0,
16,"Dec 21, 2019",CHASO,76,EKENT,69,W,-4.0,W,144.5,O
17,"Dec 16, 2019",CHASO,60,JMU,81,L,-6.5,L,152.5,U
18,"Dec 7, 2019",NCCEN,53,CHASO,58,W,-4.5,W,133.0,U
19,"Dec 3, 2019",CHASO,68,MIZZU,60,W,-26.0,W,131.0,U
20,"Nov 24, 2019",CHASO,71,DELST,61,W,8.0,W,142.5,U
21,"Nov 23, 2019",SUTAH,80,CHASO,45,L,8.0,L,138.0,U
22,"Nov 18, 2019",CHASO,46,MICHS,94,L,-38.0,L,142.0,U
23,"Nov 16, 2019",CHASO,61,DAYTN,90,L,-20.0,L,139.5,O
24,"Nov 12, 2019",FURMN,91,CHASO,47,L,8.5,L,144.5,U
25,"Nov 8, 2019",CHASO,49,NCA&T,63,L,6.0,L,136.0,U
26,"Nov 5, 2019",CLMINT,71,CHASO,99,W,0.0,,0.0,
27,"Mar 26, 2019",CHASO,67,HAMPT,73,L,-2.0,L,158.0,U
28,"Mar 21, 2019",FLAAT,66,CHASO,68,W,-4.5,L,142.5,U
29,"Mar 8, 2019",CHASO,54,RADFD,63,L,-3.0,L,136.5,U
