,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",CHIST,47,GRCNYN,71,L,-21.5,L,140.0,U
1,"Feb 13, 2020",CHIST,54,CSBAK,64,L,-21.0,W,134.0,U
2,"Feb 8, 2020",UTRGV,75,CHIST,64,L,15.0,W,139.5,U
3,"Feb 6, 2020",NMXST,71,CHIST,49,L,22.5,W,132.0,U
4,"Feb 1, 2020",UMKC,69,CHIST,51,L,15.5,L,136.0,U
5,"Jan 22, 2020",CHIST,53,CALBAP,85,L,-26.0,L,149.0,U
6,"Jan 19, 2020",CSBAK,72,CHIST,54,L,17.5,L,139.5,U
7,"Jan 16, 2020",GRCNYN,76,CHIST,64,L,17.0,W,146.0,U
8,"Jan 11, 2020",CHIST,63,UTRGV,87,L,-19.0,L,144.5,O
9,"Jan 9, 2020",CHIST,54,NMXST,93,L,-31.0,L,138.0,O
10,"Jan 4, 2020",SEATT,86,CHIST,54,L,13.5,L,144.5,U
11,"Jan 2, 2020",UTVAL,94,CHIST,73,L,14.0,L,149.0,O
12,"Dec 30, 2019",CHIST,33,MIZZU,91,L,-33.0,L,136.0,U
13,"Dec 22, 2019",CHIST,64,INDST,85,L,-26.0,W,151.0,U
14,"Dec 19, 2019",N.ILL,75,CHIST,60,L,18.5,W,141.0,U
15,"Dec 17, 2019",ORALR,97,CHIST,59,L,16.0,L,157.0,U
16,"Dec 6, 2019",CHIST,74,TN.ST,80,L,-21.0,W,155.5,U
17,"Dec 4, 2019",CHIST,89,SIUED,81,W,-12.5,W,139.5,O
18,"Nov 30, 2019",CHIST,54,ALAST,67,L,-10.0,L,141.5,U
19,"Nov 29, 2019",JAXST,71,CHIST,62,L,20.0,W,149.5,U
20,"Nov 25, 2019",CHIST,56,FLAST,113,L,-40.0,L,144.5,O
21,"Nov 20, 2019",NOPARK,66,CHIST,79,W,0.0,,0.0,
22,"Nov 19, 2019",PDCLMT,77,CHIST,89,W,0.0,,0.0,
23,"Nov 16, 2019",CHIST,49,PURDU,93,L,-39.0,L,142.5,U
24,"Nov 12, 2019",CHIST,34,E.ILL,98,L,-18.5,L,151.5,U
25,"Nov 9, 2019",LOYMD,98,CHIST,85,L,12.5,L,149.0,O
26,"Nov 5, 2019",JUDSON,60,CHIST,103,W,0.0,,0.0,
27,"Mar 14, 2019",CHIST,49,NMXST,86,L,-27.5,L,144.5,U
28,"Mar 9, 2019",UMKC,76,CHIST,61,L,10.5,L,146.0,U
29,"Mar 2, 2019",NMXST,92,CHIST,58,L,25.0,L,144.0,O
