,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",CINCY,70,E.CAR,67,W,10.0,L,141.0,U
1,"Feb 13, 2020",MEMPH,86,CINCY,92,W,-7.0,L,136.5,O
2,"Feb 9, 2020",CINCY,71,UCONN,72,L,1.0,L,132.5,O
3,"Feb 6, 2020",CINCY,80,WICHI,79,W,-5.0,W,133.5,O
4,"Feb 1, 2020",HOUST,62,CINCY,64,W,-3.5,L,135.0,U
5,"Jan 28, 2020",SMU,43,CINCY,65,W,-5.5,W,137.5,U
6,"Jan 22, 2020",CINCY,89,TEMPL,82,W,2.5,W,132.0,O
7,"Jan 19, 2020",E.CAR,57,CINCY,82,W,-16.0,W,137.5,O
8,"Jan 16, 2020",CINCY,49,MEMPH,60,L,-4.0,L,141.5,U
9,"Jan 11, 2020",CINCY,68,UCF,54,W,2.5,W,134.0,U
10,"Jan 8, 2020",TULSA,44,CINCY,75,W,-9.0,W,137.0,U
11,"Jan 4, 2020",CINCY,71,TULAN,76,L,7.5,L,141.5,O
12,"Jan 1, 2020",UCONN,51,CINCY,67,W,-3.5,W,135.5,U
13,"Dec 21, 2019",CINCY,70,IOWA,77,L,-2.5,L,148.0,U
14,"Dec 18, 2019",TENN,66,CINCY,78,W,2.0,W,132.0,O
15,"Dec 14, 2019",COLGT,67,CINCY,66,L,-12.0,L,144.0,U
16,"Dec 7, 2019",CINCY,66,XAVIR,73,L,-5.0,L,138.0,O
17,"Dec 3, 2019",VERMT,73,CINCY,82,W,-6.0,W,132.5,O
18,"Nov 30, 2019",UNLV,65,CINCY,72,W,-12.0,L,138.0,U
19,"Nov 25, 2019",VALPO,77,CINCY,81,W,-11.0,L,136.5,O
20,"Nov 24, 2019",CINCY,84,BOWLG,91,L,7.0,L,144.5,O
21,"Nov 22, 2019",ILLST,65,CINCY,66,W,-12.5,L,133.0,U
22,"Nov 14, 2019",ALA&M,53,CINCY,85,W,-33.0,L,133.5,O
23,"Nov 11, 2019",DRAKE,59,CINCY,81,W,-12.0,W,140.5,U
24,"Nov 6, 2019",CINCY,56,OHIOS,64,L,-5.5,L,143.0,U
25,"Mar 22, 2019",IOWA,79,CINCY,72,L,-4.5,L,136.5,O
26,"Mar 17, 2019",CINCY,69,HOUST,57,W,-5.0,W,126.0,P
27,"Mar 16, 2019",WICHI,63,CINCY,66,W,-5.0,L,128.5,O
28,"Mar 15, 2019",SMU,74,CINCY,82,W,-6.5,W,129.5,O
29,"Mar 10, 2019",HOUST,85,CINCY,69,L,-2.5,L,128.5,O
