,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",LOUIS,62,CLEMS,77,W,4.5,W,129.0,O
1,"Feb 12, 2020",CLEMS,72,PITT,52,W,-3.5,W,124.5,U
2,"Feb 9, 2020",ND,61,CLEMS,57,L,2.0,L,138.0,U
3,"Feb 5, 2020",CLEMS,44,VIRGA,51,L,-7.5,W,107.0,U
4,"Feb 1, 2020",CLEMS,44,WAKE,56,L,2.0,L,138.5,U
5,"Jan 28, 2020",SYRA,70,CLEMS,71,W,-2.0,L,134.5,O
6,"Jan 25, 2020",CLEMS,62,LOUIS,80,L,-10.0,L,130.5,O
7,"Jan 21, 2020",WAKE,68,CLEMS,71,W,-9.5,L,137.0,O
8,"Jan 18, 2020",CLEMS,54,NCST,60,L,-6.5,W,139.0,U
9,"Jan 14, 2020",DUKE,72,CLEMS,79,W,10.5,W,133.5,O
10,"Jan 11, 2020",CLEMS,79,UNC,76,W,-3.0,W,135.0,O
11,"Jan 4, 2020",NCST,70,CLEMS,81,W,0.0,W,137.0,O
12,"Dec 31, 2019",MIAMI,73,CLEMS,68,L,-3.0,L,134.5,O
13,"Dec 22, 2019",YALE,54,CLEMS,45,L,-5.0,L,128.0,U
14,"Dec 20, 2019",JAXVL,39,CLEMS,68,W,-12.5,W,128.5,U
15,"Dec 15, 2019",S.CAR,67,CLEMS,54,L,-6.0,L,136.5,U
16,"Dec 8, 2019",CLEMS,53,FLAST,72,L,-10.0,L,136.0,U
17,"Dec 2, 2019",CLEMS,60,MINN,78,L,-2.5,L,131.0,O
18,"Nov 26, 2019",COLO,71,CLEMS,67,L,4.5,W,127.0,O
19,"Nov 24, 2019",TCU,60,CLEMS,62,W,2.0,W,131.0,U
20,"Nov 21, 2019",ALA&M,51,CLEMS,87,W,-31.0,W,135.0,O
21,"Nov 17, 2019",DETRT,65,CLEMS,87,W,-14.5,W,142.5,O
22,"Nov 10, 2019",COLGT,68,CLEMS,81,W,-8.0,W,138.0,O
23,"Nov 7, 2019",PRESB,45,CLEMS,79,W,-20.0,W,138.5,U
24,"Nov 5, 2019",VATEC,67,CLEMS,60,L,-7.0,L,129.0,U
25,"Mar 24, 2019",WICHI,63,CLEMS,55,L,-6.5,L,137.5,U
26,"Mar 19, 2019",WRIGH,69,CLEMS,75,W,-12.0,L,130.5,O
27,"Mar 13, 2019",CLEMS,58,NCST,59,L,2.5,L,145.0,U
28,"Mar 9, 2019",SYRA,55,CLEMS,67,W,-5.0,W,127.0,U
29,"Mar 6, 2019",CLEMS,64,ND,62,W,4.0,L,133.0,U
