,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",CLEST,67,DETRT,66,W,-5.5,W,140.0,U
1,"Feb 13, 2020",CLEST,74,OAKLN,79,L,-8.0,W,131.0,O
2,"Feb 8, 2020",CLEST,55,YOUNG,67,L,-6.0,L,135.5,U
3,"Feb 1, 2020",ILCHI,64,CLEST,62,L,2.0,P,134.5,U
4,"Jan 30, 2020",IUPUI,62,CLEST,72,W,-5.5,W,143.5,U
5,"Jan 25, 2020",WISML,53,CLEST,70,W,3.0,W,136.5,U
6,"Jan 23, 2020",WISGB,78,CLEST,74,L,3.0,L,152.0,P
7,"Jan 18, 2020",CLEST,49,N.KENT,75,L,-13.5,L,131.5,U
8,"Jan 16, 2020",CLEST,62,WRIGH,75,L,-15.5,W,142.5,U
9,"Jan 11, 2020",OAKLN,68,CLEST,55,L,2.5,L,130.5,U
10,"Jan 9, 2020",DETRT,59,CLEST,64,W,-1.0,W,142.5,U
11,"Jan 4, 2020",YOUNG,74,CLEST,82,W,3.5,W,136.0,O
12,"Dec 30, 2019",CLEST,82,IUPUI,80,W,-3.5,W,138.0,O
13,"Dec 28, 2019",CLEST,66,ILCHI,71,L,-10.5,W,135.0,O
14,"Dec 21, 2019",CLEST,55,E.TEN,80,L,-20.5,L,140.0,U
15,"Dec 18, 2019",DPAUL,73,CLEST,65,L,15.5,W,136.5,O
16,"Dec 15, 2019",CLEST,58,BOWLG,72,L,-16.5,W,142.5,U
17,"Dec 7, 2019",CLEST,59,KENT,81,L,-18.5,L,132.0,O
18,"Dec 4, 2019",TOLDO,80,CLEST,65,L,13.0,L,135.0,O
19,"Nov 30, 2019",ROBMO,59,CLEST,70,W,1.5,W,127.5,O
20,"Nov 23, 2019",EKENT,51,CLEST,65,W,7.0,W,150.5,U
21,"Nov 22, 2019",NCWIL,46,CLEST,47,W,5.5,W,146.0,U
22,"Nov 19, 2019",FLAIN,107,CLEST,61,L,7.5,L,150.5,O
23,"Nov 15, 2019",CLEST,63,S.CAR,90,L,-24.0,L,133.0,O
24,"Nov 12, 2019",CLEST,53,MIZST,73,L,-17.5,L,132.5,U
25,"Nov 9, 2019",EDINBO,54,CLEST,79,W,0.0,,0.0,
26,"Nov 5, 2019",CLEST,50,MINN,85,L,-22.0,L,146.0,U
27,"Mar 2, 2019",CLEST,89,YOUNG,80,W,-5.5,W,152.0,O
28,"Feb 23, 2019",CLEST,83,N.KENT,77,W,-16.0,W,150.0,O
29,"Feb 21, 2019",CLEST,61,WRIGH,87,L,-14.0,L,145.0,O
