,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",COCAR,80,GAST,92,L,-8.0,L,160.0,O
1,"Feb 13, 2020",COCAR,69,GASOU,79,L,-6.0,L,158.0,U
2,"Feb 8, 2020",TEXAR,75,COCAR,89,W,2.0,W,151.0,O
3,"Feb 6, 2020",TEXST,100,COCAR,63,L,2.5,L,142.5,O
4,"Feb 1, 2020",COCAR,83,ARKST,77,W,-2.0,W,149.5,O
5,"Jan 30, 2020",COCAR,79,ARKLR,96,L,-6.0,L,148.5,O
6,"Jan 25, 2020",APPST,78,COCAR,58,L,-6.5,L,144.5,U
7,"Jan 18, 2020",ARKST,80,COCAR,75,L,-8.0,L,146.0,O
8,"Jan 16, 2020",ARKLR,71,COCAR,55,L,-6.5,L,144.5,U
9,"Jan 11, 2020",COCAR,82,TEXAR,77,W,-4.5,W,146.5,O
10,"Jan 9, 2020",COCAR,66,TEXST,78,L,-3.0,L,140.0,O
11,"Jan 6, 2020",ULMON,64,COCAR,93,W,-8.5,W,138.0,O
12,"Jan 4, 2020",GAST,72,COCAR,74,W,1.5,W,153.5,U
13,"Jan 2, 2020",GASOU,70,COCAR,67,L,-3.0,L,155.0,U
14,"Dec 21, 2019",COCAR,81,S.ALA,69,W,-4.0,W,148.0,O
15,"Dec 19, 2019",COCAR,59,TROY,77,L,4.5,L,145.5,U
16,"Dec 14, 2019",NCCEN,71,COCAR,91,W,-13.0,W,142.5,O
17,"Dec 7, 2019",COCAR,92,WINTH,88,W,-6.0,W,144.0,O
18,"Dec 4, 2019",GRNBRO,79,COCAR,114,W,0.0,,0.0,
19,"Nov 30, 2019",COCAR,92,DELST,77,W,16.0,L,146.0,O
20,"Nov 24, 2019",MISST,81,COCAR,56,L,6.0,L,138.0,U
21,"Nov 22, 2019",BAYLR,77,COCAR,65,L,10.0,L,141.0,O
22,"Nov 21, 2019",UTAH,57,COCAR,79,W,5.0,W,148.5,U
23,"Nov 18, 2019",MIDTN,72,COCAR,93,W,-3.5,W,146.5,O
24,"Nov 12, 2019",N.KENT,69,COCAR,68,L,0.0,L,146.0,U
25,"Nov 8, 2019",HMPSYD,66,COCAR,102,W,0.0,,0.0,
26,"Nov 5, 2019",CAMBP,75,COCAR,74,L,-9.0,L,146.0,O
27,"Mar 27, 2019",COCAR,87,DPAUL,92,L,-8.0,W,164.5,O
28,"Mar 25, 2019",W.VA,91,COCAR,109,W,10.5,W,157.5,O
29,"Mar 20, 2019",HOWRD,72,COCAR,81,W,-11.0,L,162.0,U
