,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",COLGT,80,LOYMD,84,L,5.5,L,150.5,O
1,"Feb 10, 2020",COLGT,79,BOSTU,63,W,-1.0,W,144.0,U
2,"Feb 8, 2020",NAVY,60,COLGT,67,W,-8.5,L,134.0,U
3,"Feb 5, 2020",COLGT,81,LEHIH,51,W,7.0,W,149.0,U
4,"Feb 1, 2020",COLGT,73,HOLYC,64,W,12.0,L,149.5,U
5,"Jan 29, 2020",LAFAY,80,COLGT,78,L,-7.5,L,143.0,O
6,"Jan 25, 2020",COLGT,79,AMERN,69,W,3.0,W,143.5,O
7,"Jan 20, 2020",BUCKN,65,COLGT,80,W,-8.5,W,145.0,P
8,"Jan 18, 2020",BOSTU,70,COLGT,79,W,-6.5,W,141.5,O
9,"Jan 15, 2020",COLGT,67,LAFAY,71,L,3.5,L,144.5,U
10,"Jan 11, 2020",COLGT,70,NAVY,63,W,5.5,W,126.5,O
11,"Jan 8, 2020",LOYMD,70,COLGT,92,W,-7.5,W,144.0,O
12,"Jan 6, 2020",COLGT,70,ARMY,65,W,7.0,L,141.5,U
13,"Jan 2, 2020",AMERN,51,COLGT,65,W,-8.5,W,149.5,U
14,"Dec 22, 2019",COLUM,71,COLGT,89,W,-8.0,W,140.5,O
15,"Dec 14, 2019",COLGT,67,CINCY,66,W,-12.0,W,144.0,U
16,"Dec 11, 2019",CORNL,58,COLGT,66,W,-9.5,L,139.0,U
17,"Dec 8, 2019",COLGT,82,NIAGR,93,L,9.0,L,142.5,O
18,"Dec 4, 2019",COLGT,82,BINGH,74,W,13.0,L,145.5,O
19,"Nov 30, 2019",SIENA,62,COLGT,72,W,-5.0,W,143.5,U
20,"Nov 26, 2019",COLGT,99,WISGB,81,W,3.5,W,153.5,O
21,"Nov 24, 2019",CSNOR,56,COLGT,64,W,-10.5,L,151.0,U
22,"Nov 21, 2019",CORTST,50,COLGT,89,W,0.0,,0.0,
23,"Nov 18, 2019",COLGT,62,AUBRN,91,L,-14.5,L,150.0,O
24,"Nov 13, 2019",COLGT,54,SYRA,70,L,-9.0,L,137.0,U
25,"Nov 10, 2019",COLGT,68,CLEMS,81,L,-8.0,L,138.0,O
26,"Nov 6, 2019",NJIT,75,COLGT,80,W,-8.0,L,145.5,O
27,"Mar 22, 2019",COLGT,70,TENN,77,L,-17.5,W,146.5,O
28,"Mar 13, 2019",BUCKN,80,COLGT,94,W,-3.5,W,146.5,O
29,"Mar 10, 2019",NAVY,70,COLGT,80,W,-11.5,L,138.0,O
