,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",COLCH,51,NEAST,65,L,-3.0,L,139.5,U
1,"Feb 13, 2020",COLCH,63,HOFST,76,L,-4.0,L,145.0,U
2,"Feb 8, 2020",ELON,72,COLCH,65,L,-12.0,L,136.0,O
3,"Feb 6, 2020",W&M,50,COLCH,68,W,-5.5,W,140.5,U
4,"Feb 1, 2020",COLCH,79,TOWSN,70,W,-2.0,W,136.0,O
5,"Jan 30, 2020",COLCH,87,JMU,68,W,5.5,W,150.0,O
6,"Jan 25, 2020",NCWIL,72,COLCH,70,L,-13.0,L,134.0,O
7,"Jan 18, 2020",HOFST,67,COLCH,69,W,-3.5,L,144.0,U
8,"Jan 16, 2020",NEAST,79,COLCH,76,L,-3.5,L,136.0,O
9,"Jan 11, 2020",COLCH,56,W&M,67,L,-1.5,L,143.5,U
10,"Jan 9, 2020",COLCH,73,ELON,65,W,9.0,L,137.5,O
11,"Jan 4, 2020",JMU,69,COLCH,85,W,-10.0,W,149.5,O
12,"Jan 2, 2020",TOWSN,69,COLCH,81,W,-6.0,W,131.5,O
13,"Dec 30, 2019",COLCH,75,DELA,63,W,-2.5,W,142.0,U
14,"Dec 28, 2019",COLCH,76,DREXL,65,W,3.5,W,140.0,O
15,"Dec 21, 2019",SC.ST,61,COLCH,73,W,-16.0,L,139.5,U
16,"Dec 18, 2019",VACOM,76,COLCH,71,L,5.5,W,134.0,O
17,"Dec 14, 2019",COLCH,71,RICHM,78,L,-8.5,W,135.5,O
18,"Dec 8, 2019",COKER,50,COLCH,76,W,0.0,,0.0,
19,"Dec 1, 2019",COLCH,56,UCF,77,L,1.0,L,132.5,O
20,"Nov 29, 2019",PROV,55,COLCH,63,W,9.5,W,137.0,U
21,"Nov 28, 2019",WAKE,65,COLCH,56,L,-2.5,L,140.0,U
22,"Nov 23, 2019",COLCH,71,UCF,72,L,-4.0,W,136.0,O
23,"Nov 19, 2019",COLCH,76,MARSH,66,W,2.5,W,146.5,U
24,"Nov 13, 2019",OKST,73,COLCH,54,L,4.0,L,141.0,U
25,"Nov 9, 2019",GAST,80,COLCH,84,W,-7.0,L,141.5,O
26,"Nov 5, 2019",USCUP,55,COLCH,74,W,-19.0,P,145.5,U
27,"Mar 11, 2019",COLCH,67,NEAST,70,L,-3.0,P,138.0,U
28,"Mar 10, 2019",DREXL,61,COLCH,73,W,-10.0,W,147.0,U
29,"Mar 2, 2019",NCWIL,61,COLCH,70,W,-9.5,L,152.0,U
