,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",COLST,77,WYOM,70,W,9.5,L,135.0,O
1,"Feb 11, 2020",UT.ST,75,COLST,72,L,2.0,L,143.5,O
2,"Feb 4, 2020",COLST,80,FRSNO,70,W,-2.0,W,138.5,O
3,"Feb 1, 2020",UNLV,77,COLST,95,W,-6.0,W,146.0,O
4,"Jan 29, 2020",NEV,91,COLST,92,W,-4.5,L,154.0,O
5,"Jan 25, 2020",COLST,61,UT.ST,77,L,-9.0,L,141.5,U
6,"Jan 22, 2020",FRSNO,68,COLST,86,W,-5.0,W,135.0,O
7,"Jan 18, 2020",COLST,78,AIRFO,65,W,0.0,,149.0,U
8,"Jan 15, 2020",NEWMX,72,COLST,105,W,-4.5,W,154.5,O
9,"Jan 11, 2020",COLST,81,SJ.ST,70,W,6.5,W,144.5,O
10,"Jan 4, 2020",WYOM,61,COLST,72,W,-13.5,L,127.5,O
11,"Jan 1, 2020",COLST,61,NEV,67,L,-7.5,W,150.0,U
12,"Dec 28, 2019",DOANE,62,COLST,87,W,0.0,,0.0,
13,"Dec 21, 2019",COLST,111,TULSA,104,W,-3.0,W,134.5,O
14,"Dec 13, 2019",COLO,56,COLST,48,L,6.0,L,140.0,U
15,"Dec 10, 2019",SD.ST,68,COLST,72,W,-7.0,L,144.5,U
16,"Dec 7, 2019",COLST,64,BOISE,75,L,-6.0,L,141.0,U
17,"Dec 4, 2019",SD.ST,79,COLST,57,L,5.5,L,134.5,O
18,"Dec 1, 2019",UTVAL,61,COLST,92,W,-8.0,W,143.0,O
19,"Nov 27, 2019",COLST,79,WASST,69,W,0.0,,140.0,O
20,"Nov 26, 2019",COLST,61,LOYCH,60,W,-3.5,W,132.5,U
21,"Nov 25, 2019",COLST,70,NMXST,78,L,-4.5,L,132.5,O
22,"Nov 20, 2019",ARKST,80,COLST,78,L,-12.0,L,137.5,O
23,"Nov 16, 2019",COLST,74,LOYMA,64,W,3.0,W,132.0,O
24,"Nov 13, 2019",NEBOM,65,COLST,80,W,-6.5,W,146.5,U
25,"Nov 8, 2019",COLST,55,DUKE,89,L,-24.0,L,142.5,O
26,"Nov 5, 2019",DENVR,63,COLST,74,W,-13.5,L,145.0,U
27,"Mar 13, 2019",COLST,57,BOISE,66,L,-3.5,L,141.0,U
28,"Mar 9, 2019",UNLV,65,COLST,60,L,-2.5,L,151.0,U
29,"Mar 5, 2019",UT.ST,100,COLST,96,L,7.5,W,144.5,O
