,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",USC,66,COLO,70,W,-9.0,L,137.0,U
1,"Feb 15, 2020",COLO,69,OREST,47,W,2.0,W,135.5,U
2,"Feb 13, 2020",COLO,60,OREG,68,L,-5.0,L,135.5,U
3,"Feb 8, 2020",STANF,74,COLO,81,W,-8.5,L,129.5,O
4,"Feb 6, 2020",CAL,65,COLO,71,W,-16.0,L,130.0,O
5,"Feb 1, 2020",COLO,78,USC,57,W,-1.5,W,135.5,U
6,"Jan 30, 2020",COLO,68,UCLA,72,L,4.5,L,133.5,O
7,"Jan 25, 2020",WASH,62,COLO,76,W,-8.0,W,130.5,O
8,"Jan 23, 2020",WASST,56,COLO,78,W,-13.5,W,139.0,U
9,"Jan 18, 2020",COLO,54,ARIZ,75,L,-6.0,L,140.5,U
10,"Jan 16, 2020",COLO,68,ARZST,61,W,0.0,,141.0,U
11,"Jan 12, 2020",UTAH,52,COLO,91,W,-8.5,W,139.0,O
12,"Jan 5, 2020",OREST,76,COLO,68,L,-7.0,L,139.0,O
13,"Jan 2, 2020",OREG,65,COLO,74,W,-1.5,W,136.5,O
14,"Dec 29, 2019",IONA,54,COLO,99,W,-16.0,W,139.0,O
15,"Dec 21, 2019",COLO,78,DAYTN,76,W,-6.0,W,139.0,O
16,"Dec 19, 2019",PVA&M,64,COLO,83,W,-20.0,L,138.5,O
17,"Dec 13, 2019",COLO,56,COLST,48,W,6.0,W,140.0,U
18,"Dec 10, 2019",NIOWA,79,COLO,76,L,-9.5,L,126.5,O
19,"Dec 7, 2019",COLO,58,KANSA,72,L,-10.5,L,138.5,U
20,"Dec 4, 2019",LOYMA,64,COLO,76,W,-17.0,L,122.5,O
21,"Nov 30, 2019",SACRA,45,COLO,59,W,-17.5,L,125.0,U
22,"Nov 26, 2019",COLO,71,CLEMS,67,W,4.5,L,127.0,O
23,"Nov 24, 2019",COLO,56,WYOM,41,W,18.5,L,124.0,U
24,"Nov 18, 2019",UCI,53,COLO,69,W,-11.0,W,136.0,U
25,"Nov 16, 2019",SD,53,COLO,71,W,-18.0,P,139.0,U
26,"Nov 8, 2019",ARZST,71,COLO,81,W,-5.5,W,146.0,O
27,"Mar 27, 2019",COLO,55,TEXAS,68,L,-5.0,L,138.0,U
28,"Mar 25, 2019",NORFK,60,COLO,76,W,-14.0,W,146.5,U
29,"Mar 19, 2019",DAYTN,73,COLO,78,W,-4.5,W,139.5,O
