,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",COLUM,73,HARVD,77,L,-14.5,W,141.5,O
1,"Feb 14, 2020",COLUM,63,DART,65,L,-5.5,W,132.5,U
2,"Feb 9, 2020",PRNCE,81,COLUM,74,L,3.0,L,137.0,O
3,"Feb 8, 2020",PENN,76,COLUM,67,L,5.0,L,138.0,O
4,"Feb 1, 2020",COLUM,66,BROWN,72,L,-6.5,W,138.5,U
5,"Jan 31, 2020",COLUM,62,YALE,93,L,-14.5,L,133.0,O
6,"Jan 25, 2020",COLUM,50,CORNL,62,L,-1.5,L,136.0,U
7,"Jan 18, 2020",CORNL,61,COLUM,75,W,-5.0,W,134.0,O
8,"Jan 9, 2020",MTSTVI,56,COLUM,86,W,0.0,,0.0,
9,"Jan 2, 2020",COLUM,72,MAINE,75,L,6.5,L,131.5,O
10,"Dec 30, 2019",ALBNY,67,COLUM,66,L,-3.0,L,138.0,U
11,"Dec 28, 2019",MARST,54,COLUM,69,W,-9.0,W,127.0,U
12,"Dec 22, 2019",COLUM,71,COLGT,89,L,-8.0,L,140.5,O
13,"Dec 9, 2019",COLUM,54,DUQU,90,L,-11.5,L,133.0,O
14,"Dec 6, 2019",COLUM,65,BRYANT,67,L,-2.5,W,145.0,U
15,"Dec 2, 2019",COLUM,76,DELA,84,L,-7.0,L,137.5,O
16,"Nov 30, 2019",LEHIH,64,COLUM,68,W,-5.0,L,142.5,U
17,"Nov 24, 2019",COLUM,82,CCONN,52,W,15.5,W,138.5,U
18,"Nov 23, 2019",RIDER,87,COLUM,63,L,1.5,L,147.5,O
19,"Nov 20, 2019",COLUM,63,STJON,82,L,-10.5,L,144.5,O
20,"Nov 16, 2019",COLUM,42,VIRGA,60,L,-23.0,W,115.5,U
21,"Nov 13, 2019",BINGH,63,COLUM,75,W,-15.0,L,138.5,U
22,"Nov 10, 2019",COLUM,63,WAKE,65,L,-8.5,W,146.0,U
23,"Nov 5, 2019",COLUM,63,LAFAY,65,L,1.0,L,153.0,U
24,"Mar 9, 2019",HARVD,83,COLUM,81,L,3.0,W,138.0,O
25,"Mar 8, 2019",DART,66,COLUM,70,W,-3.0,W,140.5,U
26,"Mar 2, 2019",COLUM,83,YALE,75,W,-12.5,W,147.0,O
27,"Mar 1, 2019",COLUM,80,BROWN,77,W,-4.5,W,142.0,O
28,"Feb 23, 2019",COLUM,61,PRNCE,79,L,-6.5,L,133.5,O
29,"Feb 22, 2019",COLUM,79,PENN,77,W,-7.5,W,141.0,O
