,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",MEMPH,61,UCONN,64,W,-4.0,L,136.5,U
1,"Feb 12, 2020",UCONN,75,SMU,79,L,-5.0,W,134.0,O
2,"Feb 9, 2020",CINCY,71,UCONN,72,W,1.0,W,132.5,O
3,"Feb 6, 2020",UCONN,72,TULSA,56,W,-3.0,W,126.0,O
4,"Feb 1, 2020",UCONN,63,MEMPH,70,L,-4.5,L,134.5,U
5,"Jan 29, 2020",TEMPL,63,UCONN,78,W,-4.5,W,130.5,O
6,"Jan 26, 2020",TULSA,79,UCONN,75,L,-5.5,L,127.5,O
7,"Jan 23, 2020",UCONN,59,HOUST,63,L,-9.5,W,129.0,U
8,"Jan 18, 2020",UCONN,55,VILLA,61,L,-9.5,W,134.0,U
9,"Jan 12, 2020",WICHI,89,UCONN,86,L,3.5,W,132.0,O
10,"Jan 8, 2020",TULAN,61,UCONN,67,W,-10.5,L,135.0,U
11,"Jan 4, 2020",UCONN,60,S.FLA,75,L,3.0,L,124.0,O
12,"Jan 1, 2020",UCONN,51,CINCY,67,L,-3.5,L,135.5,U
13,"Dec 29, 2019",NJIT,47,UCONN,69,W,-21.0,W,135.0,U
14,"Dec 22, 2019",NH,62,UCONN,88,W,-19.0,W,135.0,O
15,"Dec 18, 2019",STPET,56,UCONN,66,W,-20.0,L,130.0,U
16,"Dec 10, 2019",UCONN,54,INDY,57,L,-2.0,L,139.5,U
17,"Dec 4, 2019",IONA,62,UCONN,80,W,-13.0,W,145.5,U
18,"Dec 1, 2019",MAINE,40,UCONN,64,W,-21.0,W,129.0,U
19,"Nov 24, 2019",MIAMI,55,UCONN,80,W,-1.5,W,145.0,U
20,"Nov 22, 2019",XAVIR,75,UCONN,74,L,5.0,W,137.0,O
21,"Nov 21, 2019",BUFF,68,UCONN,79,W,-3.0,W,153.0,U
22,"Nov 17, 2019",FLA,59,UCONN,62,W,4.0,W,136.5,U
23,"Nov 13, 2019",STJOE,96,UCONN,87,L,-13.5,L,158.0,O
24,"Nov 8, 2019",SACRD,67,UCONN,89,W,-16.0,W,152.0,O
25,"Mar 15, 2019",UCONN,45,HOUST,84,L,-12.0,L,139.5,U
26,"Mar 14, 2019",UCONN,80,S.FLA,73,W,2.0,W,136.5,O
27,"Mar 10, 2019",UCONN,82,E.CAR,73,W,5.5,W,140.5,O
28,"Mar 7, 2019",TEMPL,78,UCONN,71,L,-1.5,L,141.0,O
29,"Mar 3, 2019",S.FLA,58,UCONN,60,W,-3.5,L,132.0,U
