,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",COPIN,60,NORFK,80,L,-10.0,L,138.5,O
1,"Feb 15, 2020",COPIN,66,SC.ST,70,L,-2.5,L,146.5,U
2,"Feb 10, 2020",MD-ES,67,COPIN,68,W,-8.0,L,132.0,O
3,"Feb 8, 2020",NCCEN,68,COPIN,63,L,1.5,L,134.5,U
4,"Feb 3, 2020",COPIN,64,HOWRD,56,W,4.0,W,155.0,U
5,"Feb 1, 2020",COPIN,68,DELST,77,L,6.0,L,155.5,U
6,"Jan 27, 2020",HOWRD,75,COPIN,82,W,-10.5,L,153.5,O
7,"Jan 25, 2020",MORGN,50,COPIN,48,L,-2.5,L,149.5,U
8,"Jan 18, 2020",NCA&T,75,COPIN,79,W,-2.0,W,149.0,O
9,"Jan 13, 2020",COPIN,54,FLA&M,65,L,-3.5,L,145.5,U
10,"Jan 11, 2020",COPIN,80,BCOOK,85,L,-7.0,W,154.0,O
11,"Jan 6, 2020",NORFK,82,COPIN,59,L,1.0,L,140.5,O
12,"Jan 4, 2020",SC.ST,79,COPIN,75,L,-4.5,L,146.5,O
13,"Dec 30, 2019",COPIN,56,FORDM,62,L,-8.5,W,133.0,U
14,"Dec 27, 2019",COPIN,55,MTSTM,79,L,-4.5,L,137.5,U
15,"Dec 21, 2019",COPIN,60,MIAMI,91,L,-18.0,L,154.5,U
16,"Dec 15, 2019",COPIN,77,UMBC,86,L,-7.0,L,139.5,O
17,"Dec 10, 2019",COPIN,52,DAVID,88,L,-15.0,L,147.5,U
18,"Dec 3, 2019",COPIN,85,E.CAR,75,W,-8.0,W,152.0,O
19,"Nov 29, 2019",COPIN,62,MONTA,69,L,-12.5,W,144.0,U
20,"Nov 26, 2019",COPIN,94,JMU,78,W,-9.5,W,159.5,O
21,"Nov 23, 2019",CORNL,66,COPIN,68,W,3.0,W,144.5,U
22,"Nov 19, 2019",COPIN,60,PACIF,64,L,-13.5,W,135.5,U
23,"Nov 17, 2019",COPIN,70,N.KENT,82,L,-17.0,W,144.5,O
24,"Nov 15, 2019",COPIN,69,N.ILL,81,L,-13.0,W,141.5,O
25,"Nov 12, 2019",COPIN,76,LOYCH,72,W,-22.5,W,135.5,O
26,"Nov 8, 2019",COPIN,42,VATEC,74,L,-23.5,L,140.5,U
27,"Nov 5, 2019",RIDER,91,COPIN,84,L,13.5,W,153.0,O
28,"Mar 13, 2019",COPIN,79,NCA&T,82,L,-6.5,W,132.0,O
29,"Mar 12, 2019",COPIN,81,MORGN,71,W,-3.0,W,144.0,O
