,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",CORNL,53,DART,75,L,-5.5,L,130.5,U
1,"Feb 14, 2020",CORNL,63,HARVD,85,L,-12.5,L,136.5,O
2,"Feb 9, 2020",PENN,79,CORNL,73,L,5.0,L,137.5,O
3,"Feb 8, 2020",PRNCE,62,CORNL,73,W,5.5,W,135.5,U
4,"Feb 1, 2020",CORNL,71,YALE,86,L,-17.0,W,128.0,O
5,"Jan 31, 2020",CORNL,63,BROWN,74,L,-7.0,L,135.0,O
6,"Jan 25, 2020",COLUM,50,CORNL,62,W,-1.5,W,136.0,U
7,"Jan 18, 2020",CORNL,61,COLUM,75,L,-5.0,L,134.0,O
8,"Jan 7, 2020",PURCH,68,CORNL,100,W,0.0,,0.0,
9,"Dec 29, 2019",CORNL,59,PENST,90,L,-22.0,L,139.0,O
10,"Dec 22, 2019",CORNL,76,HARTF,80,L,1.0,L,131.0,O
11,"Dec 11, 2019",CORNL,58,COLGT,66,L,-9.5,W,139.0,U
12,"Dec 7, 2019",LAFAY,62,CORNL,59,L,2.0,L,136.5,U
13,"Nov 26, 2019",CORNL,61,NAVY,72,L,-2.0,L,120.5,O
14,"Nov 23, 2019",CORNL,66,COPIN,68,L,3.0,L,144.5,U
15,"Nov 20, 2019",CORNL,53,SYRA,72,L,-20.0,W,129.0,U
16,"Nov 16, 2019",CORNL,54,DPAUL,75,L,-16.0,L,143.5,U
17,"Nov 13, 2019",NJIT,59,CORNL,58,L,2.0,W,142.0,U
18,"Nov 10, 2019",CORNL,81,BRYANT,82,L,-2.5,W,146.0,O
19,"Nov 5, 2019",BINGH,64,CORNL,84,W,-8.0,W,141.5,O
20,"Mar 19, 2019",CORNL,89,ROBMO,98,L,-1.5,L,135.0,O
21,"Mar 9, 2019",DART,51,CORNL,66,W,-3.0,W,137.5,U
22,"Mar 8, 2019",HARVD,59,CORNL,72,W,5.5,W,136.5,U
23,"Mar 2, 2019",CORNL,51,BROWN,75,L,-6.5,L,139.5,U
24,"Mar 1, 2019",CORNL,65,YALE,88,L,-11.5,L,147.5,O
25,"Feb 23, 2019",CORNL,50,PENN,68,L,-7.5,L,143.5,U
26,"Feb 22, 2019",CORNL,59,PRNCE,68,L,-7.0,L,136.5,U
27,"Feb 16, 2019",YALE,98,CORNL,92,L,5.5,L,142.5,O
28,"Feb 15, 2019",BROWN,66,CORNL,70,W,0.0,W,142.5,U
29,"Feb 9, 2019",CORNL,67,HARVD,61,W,-10.0,W,133.5,U
