,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",CREIG,73,MARQ,65,W,-3.5,W,156.0,U
1,"Feb 15, 2020",DPAUL,64,CREIG,93,W,-8.0,W,147.5,O
2,"Feb 12, 2020",CREIG,87,SETON,82,W,-5.5,W,145.5,O
3,"Feb 8, 2020",STJON,82,CREIG,94,W,-8.5,W,149.5,O
4,"Feb 5, 2020",CREIG,56,PROV,73,L,-2.0,L,140.5,U
5,"Feb 1, 2020",CREIG,76,VILLA,61,W,-6.5,W,142.5,U
6,"Jan 26, 2020",XAVIR,66,CREIG,77,W,-5.5,W,143.0,P
7,"Jan 22, 2020",CREIG,83,DPAUL,68,W,-2.5,W,146.0,O
8,"Jan 18, 2020",PROV,74,CREIG,78,W,-6.5,L,141.5,O
9,"Jan 15, 2020",CREIG,80,GTOWN,83,L,-3.0,P,152.5,O
10,"Jan 11, 2020",CREIG,77,XAVIR,65,W,-3.0,W,143.0,U
11,"Jan 7, 2020",VILLA,64,CREIG,59,L,-2.0,L,146.5,U
12,"Jan 4, 2020",CREIG,57,BUTLR,71,L,-4.5,L,135.0,U
13,"Jan 1, 2020",MARQ,75,CREIG,92,W,-4.0,W,152.5,O
14,"Dec 28, 2019",MDLUTH,54,CREIG,91,W,0.0,,0.0,
15,"Dec 21, 2019",CREIG,67,ARZST,60,W,-3.0,W,150.5,U
16,"Dec 17, 2019",OKLA,73,CREIG,83,W,-3.5,W,153.5,O
17,"Dec 13, 2019",UTRGV,58,CREIG,89,W,-18.0,W,147.0,P
18,"Dec 7, 2019",NEBRS,76,CREIG,95,W,-13.0,W,148.5,O
19,"Dec 3, 2019",ORALR,60,CREIG,72,W,-14.0,L,155.5,U
20,"Nov 29, 2019",TEXTK,76,CREIG,83,W,6.0,W,139.0,O
21,"Nov 28, 2019",CREIG,52,SD.ST,83,L,-2.5,L,139.5,U
22,"Nov 24, 2019",N.FLA,67,CREIG,76,W,-17.0,L,149.5,U
23,"Nov 22, 2019",CALPO,70,CREIG,86,W,-25.0,L,140.5,O
24,"Nov 16, 2019",LATEC,72,CREIG,82,W,-8.0,W,145.0,O
25,"Nov 12, 2019",CREIG,69,MICH,79,L,-5.0,L,154.0,U
26,"Nov 5, 2019",KENNE,55,CREIG,81,W,-26.0,P,151.5,U
27,"Mar 26, 2019",CREIG,58,TCU,71,L,-3.5,L,151.5,U
28,"Mar 22, 2019",MEMPH,67,CREIG,79,W,-5.5,W,162.5,U
29,"Mar 19, 2019",LOYCH,61,CREIG,70,W,-8.0,W,136.0,U
