,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",DAVID,72,STJOE,73,L,12.5,L,142.0,O
1,"Feb 14, 2020",DAVID,93,STBON,64,W,-4.5,W,130.0,O
2,"Feb 11, 2020",FORDM,49,DAVID,79,W,-13.5,W,121.0,O
3,"Feb 7, 2020",DAVID,62,VACOM,73,L,-9.0,L,135.0,P
4,"Feb 1, 2020",UMASS,50,DAVID,85,W,-11.0,W,141.5,U
5,"Jan 29, 2020",DAVID,104,GWASH,107,L,4.5,L,133.5,O
6,"Jan 25, 2020",GMASN,53,DAVID,68,W,-7.5,W,134.0,U
7,"Jan 22, 2020",STL,59,DAVID,71,W,-2.5,W,132.5,U
8,"Jan 19, 2020",DAVID,74,FORDM,62,W,8.5,W,121.5,O
9,"Jan 14, 2020",RICHM,70,DAVID,64,L,-5.0,L,134.0,P
10,"Jan 11, 2020",STJOE,83,DAVID,89,W,-14.0,L,146.0,O
11,"Jan 8, 2020",DAVID,58,RHODEI,69,L,-3.0,L,142.5,U
12,"Jan 5, 2020",DAVID,64,DUQU,71,L,-2.5,L,135.5,U
13,"Dec 30, 2019",DAVID,71,VANDY,76,L,-1.0,L,140.5,O
14,"Dec 22, 2019",DAVID,59,LOYCH,56,W,-2.5,W,132.0,U
15,"Dec 10, 2019",COPIN,52,DAVID,88,W,-15.0,W,147.5,U
16,"Dec 7, 2019",DAVID,70,NEAST,63,W,1.5,W,140.0,U
17,"Dec 1, 2019",TEMPL,66,DAVID,53,L,2.0,L,135.5,U
18,"Nov 29, 2019",FAIRF,56,DAVID,67,W,-11.5,L,125.0,U
19,"Nov 28, 2019",DAVID,63,MARQ,73,L,-3.0,L,140.5,U
20,"Nov 22, 2019",WAKE,82,DAVID,70,L,-9.0,L,145.0,O
21,"Nov 19, 2019",NEV,71,DAVID,91,W,-9.5,W,148.0,O
22,"Nov 16, 2019",NCWIL,49,DAVID,87,W,-16.0,W,145.5,U
23,"Nov 12, 2019",DAVID,58,CHARL,71,L,10.0,L,139.0,U
24,"Nov 8, 2019",DAVID,66,AUBRN,76,L,-2.5,L,145.0,U
25,"Mar 19, 2019",LIPSC,89,DAVID,81,L,-2.5,L,149.0,O
26,"Mar 16, 2019",STL,67,DAVID,44,L,-3.0,L,127.0,U
27,"Mar 15, 2019",STJOE,60,DAVID,70,W,-6.5,W,142.0,U
28,"Mar 9, 2019",DAVID,73,RICHM,69,W,4.5,L,139.5,O
29,"Mar 6, 2019",STBON,46,DAVID,64,W,-4.5,W,129.5,U
