,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",DAYTN,71,UMASS,63,W,13.5,L,146.0,U
1,"Feb 11, 2020",RHODEI,67,DAYTN,81,W,-11.0,W,147.0,O
2,"Feb 8, 2020",STL,65,DAYTN,71,W,-14.0,L,140.5,U
3,"Feb 1, 2020",FORDM,56,DAYTN,70,W,-24.5,L,128.5,U
4,"Jan 29, 2020",DAYTN,73,DUQU,69,W,8.0,L,138.5,O
5,"Jan 25, 2020",DAYTN,87,RICHM,79,W,6.5,W,146.0,O
6,"Jan 22, 2020",STBON,60,DAYTN,86,W,-17.5,W,139.5,O
7,"Jan 17, 2020",DAYTN,78,STL,76,W,7.0,L,137.5,O
8,"Jan 14, 2020",VACOM,65,DAYTN,79,W,-8.5,W,137.5,O
9,"Jan 11, 2020",UMASS,60,DAYTN,88,W,-19.5,W,146.0,O
10,"Jan 5, 2020",DAYTN,80,STJOE,67,W,16.5,L,153.0,U
11,"Jan 2, 2020",DAYTN,84,LASAL,58,W,10.5,W,137.5,O
12,"Dec 30, 2019",N.FLA,59,DAYTN,77,W,-20.5,L,152.0,U
13,"Dec 23, 2019",GRAMB,53,DAYTN,81,W,-26.0,W,148.0,U
14,"Dec 21, 2019",COLO,78,DAYTN,76,L,-6.0,L,139.0,O
15,"Dec 17, 2019",N.TEX,58,DAYTN,71,W,-17.0,L,135.0,U
16,"Dec 14, 2019",DRAKE,47,DAYTN,78,W,-15.5,W,138.5,U
17,"Dec 8, 2019",DAYTN,78,STMAR,68,W,3.5,W,135.0,O
18,"Dec 3, 2019",HOUBPT,68,DAYTN,99,W,-31.0,P,166.0,O
19,"Nov 27, 2019",DAYTN,84,KANSA,90,L,-4.0,L,147.0,O
20,"Nov 26, 2019",DAYTN,89,VATEC,62,W,4.0,W,135.0,O
21,"Nov 25, 2019",GA,61,DAYTN,80,W,-3.0,W,156.5,U
22,"Nov 19, 2019",NEBOM,68,DAYTN,93,W,-16.5,W,146.0,O
23,"Nov 16, 2019",CHASO,61,DAYTN,90,W,-20.0,W,139.5,O
24,"Nov 9, 2019",INDST,81,DAYTN,86,W,-12.0,L,139.5,O
25,"Mar 19, 2019",DAYTN,73,COLO,78,L,-4.5,L,139.5,O
26,"Mar 15, 2019",STL,64,DAYTN,55,L,-4.0,L,130.5,U
27,"Mar 9, 2019",DAYTN,78,DUQU,67,W,4.0,W,145.0,P
28,"Mar 6, 2019",LASAL,39,DAYTN,70,W,-10.5,W,141.0,U
29,"Mar 1, 2019",RHODEI,72,DAYTN,70,L,-7.5,L,134.0,O
