,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",BCOOK,71,DELST,70,L,7.5,W,160.5,U
1,"Feb 15, 2020",FLA&M,97,DELST,95,L,5.5,W,150.5,O
2,"Feb 10, 2020",DELST,86,SC.ST,100,L,-10.0,L,151.5,O
3,"Feb 8, 2020",DELST,57,NORFK,85,L,-14.5,L,144.0,U
4,"Feb 3, 2020",MD-ES,68,DELST,66,L,-2.5,L,139.5,U
5,"Feb 1, 2020",COPIN,68,DELST,77,W,6.0,W,155.5,U
6,"Jan 27, 2020",DELST,67,NCA&T,82,L,-14.5,L,159.0,U
7,"Jan 25, 2020",DELST,45,NCCEN,72,L,-12.0,L,143.0,U
8,"Jan 13, 2020",NCA&T,98,DELST,77,L,5.5,L,151.5,O
9,"Jan 11, 2020",NCCEN,66,DELST,68,W,6.0,W,145.5,U
10,"Jan 4, 2020",MORGN,81,DELST,68,L,5.5,L,154.5,U
11,"Dec 30, 2019",COLUN,78,DELST,76,L,0.0,,0.0,
12,"Dec 22, 2019",DELST,62,STFNY,81,L,-10.5,L,153.0,U
13,"Dec 18, 2019",DELST,80,JAXST,92,L,-13.5,W,144.5,O
14,"Dec 16, 2019",DELA,86,DELST,78,L,19.5,W,148.0,O
15,"Dec 4, 2019",LOYMD,84,DELST,76,L,14.5,W,152.5,O
16,"Nov 30, 2019",COCAR,92,DELST,77,L,16.0,W,146.0,O
17,"Nov 26, 2019",COFSTE,53,DELST,90,W,0.0,,0.0,
18,"Nov 24, 2019",CHASO,71,DELST,61,L,8.0,L,142.5,U
19,"Nov 23, 2019",DELST,66,E.TEN,98,L,-30.0,L,145.0,O
20,"Nov 20, 2019",DELST,64,VATEC,100,L,-32.5,L,134.5,O
21,"Nov 18, 2019",LIU,92,DELST,84,L,11.0,W,149.5,O
22,"Nov 15, 2019",DELST,66,GA,100,L,-32.5,L,147.0,O
23,"Nov 12, 2019",DELST,74,MANHT,85,L,-18.0,W,131.5,O
24,"Nov 8, 2019",RIDER,81,DELST,54,L,16.5,L,152.5,U
25,"Mar 14, 2019",DELST,57,NCCEN,75,L,-11.0,L,136.0,U
26,"Mar 11, 2019",DELST,71,SAVAN,67,W,-7.0,W,156.0,U
27,"Mar 7, 2019",DELST,64,MD-ES,70,L,-4.0,L,128.5,O
28,"Mar 4, 2019",NORFK,74,DELST,66,L,12.5,W,138.5,O
29,"Mar 2, 2019",MORGN,76,DELST,58,L,5.5,L,143.5,U
