,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",NEAST,48,DELA,70,W,1.0,W,146.5,U
1,"Feb 15, 2020",DELA,77,W&M,81,L,-2.5,L,143.5,O
2,"Feb 13, 2020",DELA,81,ELON,75,W,3.0,W,141.5,O
3,"Feb 8, 2020",JMU,78,DELA,80,W,-8.0,L,154.5,O
4,"Feb 6, 2020",TOWSN,78,DELA,84,W,-3.5,W,142.0,O
5,"Feb 1, 2020",DREXL,72,DELA,80,W,-5.5,W,138.5,O
6,"Jan 25, 2020",DELA,76,NEAST,74,W,-7.5,W,145.0,O
7,"Jan 23, 2020",DELA,73,HOFST,71,W,-7.0,W,149.5,U
8,"Jan 18, 2020",ELON,78,DELA,79,W,-10.5,L,137.0,O
9,"Jan 16, 2020",W&M,77,DELA,68,L,-1.5,L,145.0,P
10,"Jan 11, 2020",DELA,68,TOWSN,84,L,-2.0,L,137.0,O
11,"Jan 9, 2020",DELA,80,JMU,76,W,1.0,W,151.5,O
12,"Jan 3, 2020",DELA,55,DREXL,61,L,2.5,L,146.5,U
13,"Dec 30, 2019",COLCH,75,DELA,63,L,-2.5,L,142.0,U
14,"Dec 28, 2019",NCWIL,68,DELA,82,W,-12.5,W,140.0,O
15,"Dec 20, 2019",DELA,75,LIU,82,L,5.0,L,153.5,O
16,"Dec 16, 2019",DELA,86,DELST,78,W,19.5,L,148.0,O
17,"Dec 14, 2019",DELA,70,VILLA,78,L,-14.5,W,146.0,O
18,"Dec 7, 2019",DELA,56,GWASH,66,L,3.5,L,137.5,U
19,"Dec 2, 2019",COLUM,76,DELA,84,W,-7.0,W,137.5,O
20,"Nov 29, 2019",MD-ES,56,DELA,75,W,-20.0,L,129.0,O
21,"Nov 27, 2019",STONY,61,DELA,75,W,-4.0,W,132.5,O
22,"Nov 19, 2019",DELA,79,STFPA,64,W,2.5,W,140.0,O
23,"Nov 16, 2019",DELA,81,LAFAY,73,W,1.5,W,138.0,O
24,"Nov 10, 2019",DELA,91,TEXSA,79,W,-3.0,W,137.0,O
25,"Nov 9, 2019",DELA,56,S.ILL,54,W,-3.5,W,131.5,U
26,"Nov 8, 2019",OAKLN,53,DELA,56,W,3.0,W,140.5,U
27,"Nov 5, 2019",BWATR,51,DELA,97,W,0.0,,0.0,
28,"Mar 11, 2019",DELA,74,HOFST,78,L,-11.0,W,147.0,O
29,"Mar 10, 2019",DELA,85,W&M,79,W,-5.0,W,139.0,O
