,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",DENVR,62,NEBOM,85,L,-9.5,L,153.0,U
1,"Feb 14, 2020",DENVR,78,SD.ST,90,L,-14.0,W,150.5,O
2,"Feb 8, 2020",IPFW,70,DENVR,63,L,-2.0,L,145.5,U
3,"Feb 1, 2020",DENVR,77,ORALR,86,L,-15.0,W,155.0,O
4,"Jan 30, 2020",SDKOTA,93,DENVR,87,L,6.5,W,153.0,O
5,"Jan 25, 2020",DENVR,70,ND.ST,82,L,-13.5,W,142.0,O
6,"Jan 23, 2020",DENVR,71,NDAKOT,78,L,-9.5,W,147.5,O
7,"Jan 18, 2020",NEBOM,76,DENVR,91,W,4.5,W,146.5,O
8,"Jan 11, 2020",DENVR,80,W.ILL,86,L,-4.5,L,153.5,O
9,"Jan 8, 2020",SD.ST,80,DENVR,68,L,6.5,L,145.5,O
10,"Jan 5, 2020",DENVR,78,SDKOTA,80,L,-12.5,W,143.5,O
11,"Jan 2, 2020",NDAKOT,82,DENVR,71,L,3.5,L,140.0,O
12,"Dec 29, 2019",ND.ST,66,DENVR,55,L,8.5,L,135.0,U
13,"Dec 21, 2019",WYOM,72,DENVR,66,L,-2.5,L,127.0,O
14,"Dec 17, 2019",DENVR,64,NCOLO,86,L,-13.0,L,136.0,O
15,"Dec 14, 2019",AIRFO,79,DENVR,75,L,6.0,W,143.5,O
16,"Dec 10, 2019",NMXST,72,DENVR,67,L,11.5,W,130.0,O
17,"Dec 8, 2019",DENVR,62,UCLA,81,L,-20.0,W,136.5,O
18,"Dec 3, 2019",JACKS,58,DENVR,67,W,-6.0,W,136.0,U
19,"Nov 30, 2019",DENVR,51,SEMIZ,66,L,1.0,L,138.5,U
20,"Nov 29, 2019",DENVR,65,FULLR,62,W,-3.5,W,134.5,U
21,"Nov 27, 2019",DENVR,64,SACLA,81,L,-15.0,L,141.5,O
22,"Nov 23, 2019",DENVR,49,UCRIV,73,L,-5.0,L,121.0,O
23,"Nov 12, 2019",DENVR,56,UT.ST,97,L,-23.5,L,143.0,O
24,"Nov 9, 2019",UTVAL,62,DENVR,74,W,3.0,W,140.0,U
25,"Nov 5, 2019",DENVR,63,COLST,74,L,-13.5,W,145.0,U
26,"Mar 2, 2019",NEBOM,86,DENVR,76,L,4.0,L,150.0,O
27,"Feb 28, 2019",W.ILL,46,DENVR,74,W,-3.0,W,141.0,U
28,"Feb 23, 2019",DENVR,63,NDAKOT,81,L,-5.0,L,142.5,O
29,"Feb 20, 2019",DENVR,45,SDKOTA,72,L,-6.0,L,142.0,U
