,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",EVANS,80,DRAKE,85,W,-12.0,L,138.0,O
1,"Feb 12, 2020",DRAKE,62,MIZST,97,L,-2.0,L,137.5,O
2,"Feb 8, 2020",DRAKE,73,NIOWA,83,L,-9.0,L,137.0,O
3,"Feb 5, 2020",BRAD,60,DRAKE,73,W,-3.5,W,135.5,U
4,"Feb 1, 2020",S.ILL,79,DRAKE,72,L,-6.0,L,126.0,O
5,"Jan 29, 2020",DRAKE,56,INDST,58,L,-4.0,W,137.5,U
6,"Jan 26, 2020",MIZST,69,DRAKE,71,W,-5.5,L,133.0,O
7,"Jan 22, 2020",DRAKE,73,EVANS,50,W,6.0,W,132.0,U
8,"Jan 19, 2020",DRAKE,49,S.ILL,66,L,1.0,L,123.0,U
9,"Jan 16, 2020",ILLST,74,DRAKE,84,W,-7.5,W,136.5,O
10,"Jan 11, 2020",DRAKE,61,VALPO,66,L,-1.5,L,141.0,U
11,"Jan 7, 2020",LOYCH,62,DRAKE,65,W,-1.5,W,131.0,U
12,"Jan 4, 2020",INDST,76,DRAKE,80,W,-3.5,W,139.0,O
13,"Dec 31, 2019",DRAKE,72,BRAD,80,L,-2.5,L,133.0,O
14,"Dec 21, 2019",DRAKE,85,AIRFO,80,W,-1.5,W,137.5,O
15,"Dec 17, 2019",MOUMAR,74,DRAKE,92,W,0.0,,0.0,
16,"Dec 14, 2019",DRAKE,47,DAYTN,78,L,-15.5,L,138.5,U
17,"Dec 7, 2019",SEMIZ,73,DRAKE,78,W,-12.0,L,129.0,O
18,"Dec 3, 2019",WISML,53,DRAKE,56,W,-9.5,L,134.5,U
19,"Nov 27, 2019",DRAKE,63,MURRAY,53,W,1.5,W,132.5,U
20,"Nov 26, 2019",NEAST,56,DRAKE,59,W,1.0,W,134.0,U
21,"Nov 25, 2019",DRAKE,59,MIAOH,67,L,4.0,L,139.5,U
22,"Nov 21, 2019",LEHIH,58,DRAKE,74,W,-10.5,W,141.5,U
23,"Nov 17, 2019",SIMCOL,53,DRAKE,98,W,0.0,,0.0,
24,"Nov 13, 2019",UMKC,58,DRAKE,76,W,-9.0,W,135.0,U
25,"Nov 11, 2019",DRAKE,59,CINCY,81,L,-12.0,L,140.5,U
26,"Nov 7, 2019",KENNE,55,DRAKE,86,W,-15.0,W,148.5,U
27,"Mar 22, 2019",DRAKE,73,SUTAH,80,L,3.5,L,150.5,O
28,"Mar 9, 2019",NIOWA,60,DRAKE,58,L,3.0,W,132.0,U
29,"Mar 8, 2019",ILLST,62,DRAKE,78,W,-3.0,W,139.0,O
