,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",DREXL,70,ELON,75,L,-1.0,L,140.0,O
1,"Feb 13, 2020",DREXL,72,W&M,77,L,-5.5,W,140.5,O
2,"Feb 8, 2020",TOWSN,0,DREXL,0,T,0.0,,0.0,
3,"Feb 6, 2020",JMU,67,DREXL,78,W,-6.0,W,152.0,U
4,"Feb 1, 2020",DREXL,72,DELA,80,L,-5.5,L,138.5,O
5,"Jan 25, 2020",DREXL,59,HOFST,72,L,-8.0,L,145.5,U
6,"Jan 23, 2020",DREXL,52,NEAST,85,L,-8.5,L,140.5,U
7,"Jan 18, 2020",W&M,57,DREXL,84,W,3.0,W,140.0,O
8,"Jan 16, 2020",ELON,41,DREXL,63,W,-7.5,W,140.5,U
9,"Jan 11, 2020",DREXL,78,JMU,71,W,-3.5,W,152.0,U
10,"Jan 9, 2020",DREXL,73,TOWSN,89,L,-4.5,L,131.0,O
11,"Jan 3, 2020",DELA,55,DREXL,61,W,2.5,W,146.5,U
12,"Dec 30, 2019",NCWIL,66,DREXL,71,W,-8.0,L,141.5,U
13,"Dec 28, 2019",COLCH,76,DREXL,65,L,3.5,L,140.0,O
14,"Dec 21, 2019",DREXL,53,NORFK,49,W,4.5,L,132.5,U
15,"Dec 20, 2019",DREXL,72,QUINN,63,W,-1.5,W,149.0,U
16,"Dec 15, 2019",DREXL,61,S.FLA,81,L,-10.5,L,131.0,O
17,"Dec 7, 2019",LASAL,71,DREXL,63,L,2.0,L,142.0,U
18,"Dec 4, 2019",PRNCE,76,DREXL,82,W,3.0,W,139.5,O
19,"Nov 30, 2019",DREXL,60,UMBC,85,L,-1.5,L,133.5,O
20,"Nov 25, 2019",ROSEMT,51,DREXL,84,W,0.0,,0.0,
21,"Nov 20, 2019",BRYANT,74,DREXL,86,W,-4.5,W,149.0,O
22,"Nov 16, 2019",DREXL,67,SFA,82,L,-3.5,L,149.0,P
23,"Nov 13, 2019",DREXL,57,RUTGR,62,L,-14.5,W,143.5,U
24,"Nov 10, 2019",ABILE,83,DREXL,86,W,-7.0,L,142.0,O
25,"Nov 8, 2019",NIAGR,64,DREXL,72,W,-9.5,L,145.5,U
26,"Nov 5, 2019",DREXL,62,TEMPL,70,L,-12.0,W,150.0,U
27,"Mar 10, 2019",DREXL,61,COLCH,73,L,-10.0,L,147.0,U
28,"Mar 2, 2019",NEAST,90,DREXL,66,L,5.5,L,148.5,O
29,"Feb 28, 2019",HOFST,80,DREXL,77,L,7.5,W,158.0,U
