,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ND,60,DUKE,94,W,-12.5,W,151.0,O
1,"Feb 10, 2020",FLAST,65,DUKE,70,W,-7.5,L,148.5,U
2,"Feb 8, 2020",DUKE,98,UNC,96,W,7.5,L,148.5,O
3,"Feb 4, 2020",DUKE,63,BC,55,W,14.5,L,147.0,U
4,"Feb 1, 2020",DUKE,97,SYRA,88,W,6.5,W,147.0,O
5,"Jan 28, 2020",PITT,67,DUKE,79,W,-16.5,L,135.0,O
6,"Jan 21, 2020",MIAMI,59,DUKE,89,W,-19.0,W,147.5,O
7,"Jan 18, 2020",LOUIS,79,DUKE,73,L,-8.0,L,138.5,O
8,"Jan 14, 2020",DUKE,72,CLEMS,79,L,10.5,L,133.5,O
9,"Jan 11, 2020",WAKE,59,DUKE,90,W,-20.0,W,146.0,O
10,"Jan 8, 2020",DUKE,73,GATEC,64,W,11.5,L,138.5,U
11,"Jan 4, 2020",DUKE,95,MIAMI,62,W,10.0,W,148.5,O
12,"Dec 31, 2019",BC,49,DUKE,88,W,-21.5,W,140.5,U
13,"Dec 28, 2019",BROWN,50,DUKE,75,W,-28.0,L,145.0,U
14,"Dec 19, 2019",WOFFD,57,DUKE,86,W,-17.5,W,142.0,O
15,"Dec 6, 2019",DUKE,77,VATEC,63,W,7.0,W,143.0,U
16,"Dec 3, 2019",DUKE,87,MICHS,75,W,-6.5,W,143.5,O
17,"Nov 29, 2019",WINTH,70,DUKE,83,W,-24.5,L,141.0,O
18,"Nov 26, 2019",SFA,85,DUKE,83,L,-28.0,L,147.0,O
19,"Nov 22, 2019",GTOWN,73,DUKE,81,W,-13.0,L,152.5,O
20,"Nov 21, 2019",DUKE,87,CAL,52,W,19.0,W,136.5,O
21,"Nov 15, 2019",GAST,63,DUKE,74,W,-28.5,L,152.0,U
22,"Nov 12, 2019",C.ARK,54,DUKE,105,W,-34.0,W,153.5,O
23,"Nov 8, 2019",COLST,55,DUKE,89,W,-24.0,W,142.5,O
24,"Nov 5, 2019",KANSA,66,DUKE,68,W,2.0,W,151.0,U
25,"Mar 31, 2019",MICHS,68,DUKE,67,L,-2.5,L,149.5,U
26,"Mar 29, 2019",VATEC,73,DUKE,75,W,-7.0,L,143.0,O
27,"Mar 24, 2019",UCF,76,DUKE,77,W,-13.0,L,142.5,O
28,"Mar 22, 2019",ND.ST,62,DUKE,85,W,-27.5,L,149.0,U
29,"Mar 16, 2019",FLAST,63,DUKE,73,W,-7.0,W,146.5,U
