,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",DUQU,59,FORDM,54,W,8.0,L,120.5,U
1,"Feb 8, 2020",STBON,83,DUQU,80,L,-4.0,L,128.5,O
2,"Feb 5, 2020",DUQU,82,STL,68,W,-4.5,W,130.5,O
3,"Feb 2, 2020",LASAL,69,DUQU,71,W,-9.5,L,134.5,O
4,"Jan 29, 2020",DAYTN,73,DUQU,69,L,8.0,W,138.5,O
5,"Jan 25, 2020",DUQU,64,UMASS,73,L,5.5,L,139.0,U
6,"Jan 22, 2020",DUQU,55,RHODEI,77,L,-3.5,L,137.0,U
7,"Jan 15, 2020",FORDM,56,DUQU,58,W,-17.5,L,124.0,U
8,"Jan 11, 2020",DUQU,66,GWASH,61,W,8.0,L,135.0,U
9,"Jan 8, 2020",DUQU,78,STJOE,60,W,8.0,W,148.5,U
10,"Jan 5, 2020",DAVID,64,DUQU,71,W,-2.5,W,135.5,U
11,"Jan 2, 2020",STL,59,DUQU,73,W,-2.5,W,131.0,O
12,"Dec 29, 2019",DUQU,61,MARSH,83,L,7.0,L,149.5,U
13,"Dec 22, 2019",UAB,77,DUQU,68,L,-9.0,L,126.0,O
14,"Dec 21, 2019",APEAY,77,DUQU,86,W,-9.0,P,139.0,O
15,"Dec 14, 2019",DUQU,71,RADFD,49,W,4.5,W,132.5,U
16,"Dec 9, 2019",COLUM,54,DUQU,90,W,-11.5,W,133.0,O
17,"Dec 4, 2019",VMI,58,DUQU,71,W,-18.5,L,134.0,U
18,"Nov 24, 2019",LOYMA,50,DUQU,71,W,-8.0,W,123.5,U
19,"Nov 22, 2019",DUQU,69,AIRFO,63,W,7.0,L,137.0,U
20,"Nov 21, 2019",DUQU,74,INDST,71,W,7.0,L,137.5,O
21,"Nov 15, 2019",LIPSC,36,DUQU,58,W,-10.5,W,146.5,U
22,"Nov 12, 2019",LAMAR,56,DUQU,66,W,-13.0,L,146.5,U
23,"Nov 5, 2019",PRNCE,67,DUQU,94,W,-5.5,W,142.0,O
24,"Mar 14, 2019",STJOE,92,DUQU,86,L,2.0,L,149.0,O
25,"Mar 9, 2019",DAYTN,78,DUQU,67,L,4.0,L,145.0,P
26,"Mar 6, 2019",DUQU,75,STL,85,L,-8.5,L,139.5,O
27,"Mar 2, 2019",UMASS,73,DUQU,80,W,-6.0,W,143.0,O
28,"Feb 27, 2019",DUQU,47,STBON,68,L,-6.5,L,139.0,U
29,"Feb 23, 2019",DUQU,79,GMASN,78,W,-5.0,W,144.0,O
