,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",CINCY,70,E.CAR,67,L,10.0,W,141.0,U
1,"Feb 12, 2020",E.CAR,56,TULSA,70,L,-10.5,L,133.5,U
2,"Feb 8, 2020",E.CAR,81,TULAN,67,W,-5.5,W,141.0,O
3,"Feb 6, 2020",UCF,68,E.CAR,64,L,3.5,L,136.0,U
4,"Feb 1, 2020",E.CAR,64,TEMPL,76,L,-10.5,L,140.0,P
5,"Jan 29, 2020",HOUST,69,E.CAR,59,L,13.0,W,141.0,U
6,"Jan 25, 2020",TULAN,62,E.CAR,81,W,1.5,W,139.0,O
7,"Jan 22, 2020",E.CAR,64,SMU,84,L,-15.0,L,141.5,O
8,"Jan 19, 2020",E.CAR,57,CINCY,82,L,-16.0,L,137.5,O
9,"Jan 15, 2020",TULSA,65,E.CAR,49,L,2.5,L,138.0,U
10,"Jan 11, 2020",SMU,68,E.CAR,71,W,7.5,W,145.0,U
11,"Jan 7, 2020",S.FLA,59,E.CAR,62,W,3.5,W,135.0,U
12,"Jan 1, 2020",E.CAR,69,WICHI,75,L,-19.0,W,140.5,O
13,"Dec 28, 2019",EKENT,74,E.CAR,82,W,-11.5,L,149.5,O
14,"Dec 22, 2019",CHARL,56,E.CAR,60,W,1.5,W,136.5,U
15,"Dec 17, 2019",MD-ES,57,E.CAR,71,W,-17.5,L,137.5,U
16,"Dec 14, 2019",CAMBP,67,E.CAR,79,W,-3.5,W,137.5,O
17,"Dec 3, 2019",COPIN,85,E.CAR,75,L,-8.0,L,152.0,O
18,"Nov 30, 2019",E.CAR,89,JMU,99,L,-1.0,L,153.5,O
19,"Nov 24, 2019",RICE,77,E.CAR,69,L,1.0,L,148.5,U
20,"Nov 23, 2019",UMKC,74,E.CAR,68,L,-2.5,L,131.5,O
21,"Nov 22, 2019",EVANS,68,E.CAR,85,W,6.0,W,136.0,O
22,"Nov 16, 2019",LIBRT,77,E.CAR,57,L,7.0,L,125.5,O
23,"Nov 12, 2019",E.CAR,62,APPST,68,L,-6.5,W,142.5,U
24,"Nov 8, 2019",E.CAR,57,NAVY,62,L,2.0,L,134.5,U
25,"Nov 5, 2019",VMI,68,E.CAR,80,W,-8.5,W,150.0,U
26,"Mar 14, 2019",E.CAR,57,WICHI,73,L,-11.5,L,138.5,U
27,"Mar 10, 2019",UCONN,82,E.CAR,73,L,5.5,L,140.5,O
28,"Mar 5, 2019",E.CAR,55,WICHI,72,L,-14.0,L,138.0,U
29,"Mar 3, 2019",E.CAR,78,TULSA,91,L,-10.0,L,141.5,O
