,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",FURMN,66,E.TEN,75,W,-5.0,W,139.0,O
1,"Feb 15, 2020",E.TEN,72,VMI,67,W,12.0,L,137.5,O
2,"Feb 12, 2020",CITDL,67,E.TEN,91,W,-21.0,W,151.0,O
3,"Feb 8, 2020",E.TEN,73,MERCR,60,W,8.5,W,136.0,U
4,"Feb 5, 2020",E.TEN,80,CHATT,64,W,6.0,W,135.0,O
5,"Feb 1, 2020",NCGRE,65,E.TEN,82,W,-3.0,W,129.0,O
6,"Jan 29, 2020",MERCR,71,E.TEN,55,L,-14.0,L,134.0,U
7,"Jan 25, 2020",CHATT,64,E.TEN,75,W,-12.0,L,133.0,O
8,"Jan 18, 2020",E.TEN,85,W.CAR,66,W,4.5,W,146.5,O
9,"Jan 15, 2020",SAMFD,63,E.TEN,88,W,-16.5,W,143.5,O
10,"Jan 11, 2020",VMI,55,E.TEN,61,W,-19.0,L,140.5,U
11,"Jan 8, 2020",E.TEN,64,NCGRE,57,W,-1.0,W,130.0,U
12,"Jan 4, 2020",E.TEN,56,FURMN,65,L,-2.0,L,139.5,U
13,"Jan 1, 2020",WOFFD,48,E.TEN,49,W,-8.5,L,142.0,U
14,"Dec 29, 2019",MHILL,48,E.TEN,117,W,0.0,,0.0,
15,"Dec 21, 2019",CLEST,55,E.TEN,80,W,-20.5,W,140.0,U
16,"Dec 18, 2019",E.TEN,74,LSU,63,W,-9.0,W,150.0,U
17,"Dec 15, 2019",MILGN,41,E.TEN,97,W,0.0,,0.0,
18,"Dec 7, 2019",E.TEN,68,ND.ST,78,L,4.0,L,134.0,O
19,"Dec 4, 2019",E.TEN,96,CITDL,84,W,17.0,L,157.0,O
20,"Nov 30, 2019",E.TEN,67,ARKLR,63,W,4.5,L,131.0,U
21,"Nov 26, 2019",APPST,69,E.TEN,78,W,-11.0,L,130.0,O
22,"Nov 24, 2019",SUTAH,58,E.TEN,70,W,-11.0,W,140.0,U
23,"Nov 23, 2019",DELST,66,E.TEN,98,W,-30.0,W,145.0,O
24,"Nov 19, 2019",E.TEN,63,KANSA,75,L,-15.0,W,144.0,U
25,"Nov 14, 2019",WINTH,58,E.TEN,61,W,-11.5,L,149.0,U
26,"Nov 9, 2019",E.TEN,92,TNMAR,75,W,10.5,W,146.5,O
27,"Nov 6, 2019",NEWBR,50,E.TEN,79,W,0.0,,0.0,
28,"Mar 20, 2019",WISGB,102,E.TEN,94,L,-11.0,L,157.5,O
29,"Mar 10, 2019",E.TEN,72,WOFFD,81,L,-6.0,L,139.0,O
