,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",E.ILL,79,TNMAR,80,L,3.5,L,155.0,O
1,"Feb 13, 2020",SIUED,76,E.ILL,74,L,-10.5,L,142.0,O
2,"Feb 8, 2020",MORHD,65,E.ILL,71,W,-6.5,L,138.5,U
3,"Feb 6, 2020",EKENT,0,E.ILL,0,T,0.0,,0.0,
4,"Feb 1, 2020",E.ILL,64,APEAY,68,L,-9.0,W,147.0,U
5,"Jan 30, 2020",E.ILL,70,MURRAY,73,L,-10.5,W,145.5,U
6,"Jan 25, 2020",SEMIZ,59,E.ILL,61,W,-10.5,L,142.0,U
7,"Jan 23, 2020",TNMAR,83,E.ILL,95,W,-7.5,W,153.0,O
8,"Jan 18, 2020",TNTEC,59,E.ILL,84,W,-11.0,W,136.5,O
9,"Jan 16, 2020",JAXST,69,E.ILL,70,W,-5.0,L,138.5,O
10,"Jan 11, 2020",E.ILL,66,MORHD,69,L,-1.5,L,141.5,U
11,"Jan 9, 2020",E.ILL,74,EKENT,77,L,4.0,L,149.5,O
12,"Jan 4, 2020",E.ILL,55,BELMT,87,L,-11.5,L,149.0,U
13,"Jan 2, 2020",E.ILL,79,TN.ST,84,L,-2.5,L,146.0,O
14,"Dec 21, 2019",E.ILL,63,GRCNYN,85,L,-3.0,L,141.0,O
15,"Dec 16, 2019",E.ILL,85,W.ILL,47,W,1.5,W,152.0,U
16,"Dec 14, 2019",E.ILL,75,WISML,68,W,-3.5,W,138.0,O
17,"Dec 7, 2019",WISGB,80,E.ILL,93,W,-1.0,W,155.5,O
18,"Dec 4, 2019",E.ILL,69,IPFW,74,L,-3.5,L,141.5,O
19,"Nov 24, 2019",E.ILL,72,INCAR,63,W,11.0,L,133.0,O
20,"Nov 23, 2019",E.ILL,63,BCOOK,66,L,6.5,L,142.0,U
21,"Nov 22, 2019",STFRIL,47,E.ILL,87,W,0.0,,0.0,
22,"Nov 18, 2019",INDNW,61,E.ILL,114,W,-21.5,W,161.5,O
23,"Nov 12, 2019",CHIST,34,E.ILL,98,W,-18.5,W,151.5,U
24,"Nov 8, 2019",E.ILL,52,WISCN,65,L,-19.0,W,135.0,U
25,"Nov 5, 2019",E.ILL,60,TEXTK,85,L,-22.0,L,138.5,O
26,"Mar 6, 2019",TNMAR,78,E.ILL,71,L,1.5,L,146.5,O
27,"Mar 2, 2019",TNTEC,63,E.ILL,57,L,-7.0,L,138.5,U
28,"Feb 28, 2019",JAXST,89,E.ILL,84,L,7.5,W,141.0,O
29,"Feb 23, 2019",E.ILL,60,TN.ST,75,L,-2.5,L,142.5,U
