,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",EKENT,85,APEAY,93,L,-12.0,W,156.5,O
1,"Feb 13, 2020",EKENT,78,MORHD,71,W,-3.5,W,151.5,U
2,"Feb 8, 2020",EKENT,75,SIUED,83,L,2.0,L,149.5,O
3,"Feb 6, 2020",EKENT,0,E.ILL,0,T,0.0,,0.0,
4,"Feb 1, 2020",SEMIZ,57,EKENT,70,W,-5.0,W,151.5,U
5,"Jan 30, 2020",TNMAR,86,EKENT,99,W,-3.5,W,162.5,O
6,"Jan 25, 2020",EKENT,80,TNTEC,74,W,1.0,W,146.0,O
7,"Jan 23, 2020",EKENT,81,JAXST,77,W,-7.5,W,147.0,O
8,"Jan 18, 2020",EKENT,92,TN.ST,88,W,-10.0,W,155.0,O
9,"Jan 16, 2020",EKENT,56,BELMT,87,L,-19.5,L,157.0,U
10,"Jan 11, 2020",SIUED,72,EKENT,78,W,-4.5,W,149.0,O
11,"Jan 9, 2020",E.ILL,74,EKENT,77,W,4.0,W,149.5,O
12,"Jan 4, 2020",JAXST,80,EKENT,71,L,2.5,L,144.5,O
13,"Jan 2, 2020",TNTEC,59,EKENT,74,W,-3.0,W,144.0,U
14,"Dec 28, 2019",EKENT,74,E.CAR,82,L,-11.5,W,149.5,O
15,"Dec 21, 2019",CHASO,76,EKENT,69,L,-4.0,L,144.5,O
16,"Dec 19, 2019",EKENT,72,MARSH,90,L,-12.0,L,159.0,O
17,"Dec 14, 2019",EKENT,67,LOUIS,99,L,-31.0,L,142.5,O
18,"Dec 8, 2019",EKENT,57,N.KENT,76,L,-13.5,L,146.5,U
19,"Dec 3, 2019",EKENT,67,USCUP,79,L,3.5,L,142.0,O
20,"Nov 23, 2019",EKENT,51,CLEST,65,L,7.0,L,150.5,U
21,"Nov 22, 2019",EKENT,70,FLAIN,89,L,-7.5,L,165.0,U
22,"Nov 19, 2019",ALLOYD,63,EKENT,99,W,-39.5,L,175.5,U
23,"Nov 15, 2019",W.KEN,79,EKENT,71,L,9.5,W,156.0,U
24,"Nov 12, 2019",OUCHIL,43,EKENT,129,W,0.0,,0.0,
25,"Nov 8, 2019",EKENT,49,KENTY,91,L,-28.5,L,151.0,U
26,"Nov 5, 2019",CHATT,68,EKENT,79,W,-2.5,W,160.0,U
27,"Mar 2, 2019",MORHD,78,EKENT,77,L,-5.5,L,159.0,U
28,"Feb 28, 2019",APEAY,80,EKENT,82,W,4.0,W,167.0,U
29,"Feb 23, 2019",EKENT,101,JAXST,104,L,-12.0,W,154.5,O
